collapse_count,flag_count,flags,ground_truth_available,ripple_count,step,stripe_count
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,78,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,79,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,80,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,81,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,82,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,83,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,84,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,85,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,86,0
0,7,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,7,87,0
