channel,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,radial_increment_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_resolution,reference_semantics,residual_cosine,residual_relative_difference,resolution,shell_increment_relative_l2,source_snapshot,target_snapshot,temporal_increment_loss_inner,temporal_increment_loss_middle,temporal_increment_loss_outer
Bcc1,0.0,0.031849457330043324,0.9681505426699567,0.0,0.031849457330043324,0.9681505426699567,128,HIGHER_RES_SAMPLING_REFERENCE,0.9999999999999998,0.0,128,0.0,25,26,0.0,0.0,0.0
Bcc2,0.017898666508827155,0.32124107435153826,0.6787589256484617,0.16578521629269152,0.3033424078427111,0.6966575921572888,128,HIGHER_RES_SAMPLING_REFERENCE,0.9809728028786792,0.2328625646117275,32,0.2196866597287463,25,26,0.23092087889059942,0.25552517631224864,0.5440513935291867
Bcc2,0.03269504763648898,0.1415493051199725,0.8584506948800275,0.259002053727345,0.17424435275646147,0.8257556472435386,128,HIGHER_RES_SAMPLING_REFERENCE,0.967429925004931,0.3180514344608525,64,0.28838034967175863,25,26,0.3217557551654032,0.25177169536337507,0.5429993154784565
Bcc2,0.014396398102762983,0.13856107846228144,0.8614389215377185,0.09149743215691354,0.12416468035951846,0.8758353196404816,128,HIGHER_RES_SAMPLING_REFERENCE,0.9905647978537356,0.1393161180478882,96,0.05722750486857602,25,26,0.13833430543691522,0.15249453441678268,0.3361551836886229
Bcc2,0.0,0.09394797220463595,0.9060520277953641,0.0,0.09394797220463595,0.9060520277953641,128,HIGHER_RES_SAMPLING_REFERENCE,1.0000000000000002,0.0,128,0.0,25,26,0.0,0.0,0.0
Bcc3,0.01843372246280589,0.216562961347578,0.783437038652422,1.6337599561989522,0.23499668381038388,0.7650033161896161,128,HIGHER_RES_SAMPLING_REFERENCE,0.9933025192523554,0.17323153508716213,32,1.6800865656207467,25,26,0.17308699532323196,0.31210105537079064,0.40582693428216177
Bcc3,0.006695444104208317,0.11307399520559056,0.8869260047944094,1.8400811543787323,0.11976943930979887,0.8802305606902011,128,HIGHER_RES_SAMPLING_REFERENCE,0.9936285664362141,0.17451335118078232,64,1.849774707951699,25,26,0.17432602058036223,0.35754432097321354,0.30014943568793084
Bcc3,0.009556290379252944,0.09101741082140885,0.9089825891785912,1.7696532071521305,0.08146112044215591,0.9185388795578441,128,HIGHER_RES_SAMPLING_REFERENCE,0.9943355160546697,0.11149569198314675,96,1.8406606109156685,25,26,0.11135799308443058,0.2330481343648828,0.22557255138438811
Bcc3,0.0,0.06076173373624616,0.9392382662637538,0.0,0.06076173373624616,0.9392382662637538,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,25,26,0.0,0.0,0.0
rho,0.19020549079370386,0.8224748543052982,0.1775251456947018,1.396659304523294,0.6322693635115944,0.36773063648840565,128,HIGHER_RES_SAMPLING_REFERENCE,0.046416361074391406,1.7317373523374942,32,0.7108579801928344,25,26,0.5087298606496167,0.36454354288997853,1.732179462142693
rho,0.10365108435738823,0.3496855986544657,0.6503144013455343,0.5779062248884955,0.4533366830118539,0.5466633169881461,128,HIGHER_RES_SAMPLING_REFERENCE,0.8357292960049925,0.5825433039164388,64,0.4801334447063262,25,26,0.487779168000513,0.3231139237366775,0.5825859156598618
