channel,ground_truth_available,model,model_dynamic_span_q99_q01,model_high_k_energy,model_std,model_total_variation,model_variance,oracle_available,retention_vs_canonical_initial_dynamic_span_q99_q01,retention_vs_canonical_initial_dynamic_span_q99_q01_undefined,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_std,retention_vs_canonical_initial_std_undefined,retention_vs_canonical_initial_total_variation,retention_vs_canonical_initial_total_variation_undefined,retention_vs_canonical_initial_variance,retention_vs_canonical_initial_variance_undefined,retention_vs_raw_initial_dynamic_span_q99_q01,retention_vs_raw_initial_dynamic_span_q99_q01_undefined,retention_vs_raw_initial_high_k_energy,retention_vs_raw_initial_high_k_energy_undefined,retention_vs_raw_initial_std,retention_vs_raw_initial_std_undefined,retention_vs_raw_initial_total_variation,retention_vs_raw_initial_total_variation_undefined,retention_vs_raw_initial_variance,retention_vs_raw_initial_variance_undefined,shell,shell_group,step,voxel_count
vel2,False,persistence,0.0010938381357118486,2.762972688290032e-05,0.00017300799294866674,1.99931856541824e-05,2.993176562412592e-08,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999832529859,False,0.9999999995446938,False,0.9999999973843574,False,0.9999999990893874,False,8,outer,100,32768
vel3,False,persistence,0.07675067499279976,0.9391260768439798,0.010883834425966993,0.0008119383955470758,0.00011845785181186427,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.053672362205907466,False,0.0026352833923267197,False,0.03499674424285096,False,0.017387502011948944,False,0.0012247721075995222,False,1,inner,100,32768
vel3,False,persistence,0.14099662087857723,2.4966776017925842,0.05381198983004947,0.004234392765672282,0.002895730249469348,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.2268439272065487,False,0.06486575564458968,False,0.270355957015735,False,0.24824711803125493,False,0.07309234349389397,False,2,inner,100,32768
vel3,False,persistence,0.1044483856484294,0.7242584104645692,0.04185191275574793,0.002880464390266502,0.001751582601314736,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.3207055204381412,False,0.1587412871340546,False,0.4336810705436292,False,0.4185474158439789,False,0.18807927094786828,False,3,middle,100,32768
vel3,False,persistence,0.09812243954278528,0.3084231538222768,0.034440868631636014,0.0023492251080426438,0.0011861734321016097,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.5489133156843972,False,0.5013986878108678,False,0.6648452530033664,False,0.6776107404868479,False,0.4420192104411102,False,4,middle,100,32768
vel3,False,persistence,0.10011007013497875,0.15536209062022638,0.030760500335744043,0.001818125513883236,0.0009462083809053095,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.7873044072645479,False,0.6244434666497284,False,0.9047667736665826,False,0.8540650088724117,False,0.8186029147310372,False,5,middle,100,32768
vel3,False,persistence,0.08464301754953339,0.13180563899775732,0.02123361499021177,0.0013294382043612385,0.00045086640555254604,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999981570065,False,0.999999943721038,False,0.9999999896560705,False,0.9999999869441526,False,0.9999999793121409,False,6,middle,100,32768
vel3,False,persistence,0.056612339904531836,0.04526299113739143,0.012084979593226797,0.0007770889493425659,0.00014604673176870812,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999789428794,False,0.9999999477207161,False,0.9999999955509588,False,0.9999999864345043,False,0.9999999911019176,False,7,outer,100,32768
vel3,False,persistence,0.02943920310586691,0.02384250000335497,0.0052829200547337965,0.0003997209698845547,2.7909244304708536e-05,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0000001106054706,False,0.9999999804909807,False,0.9999999998684542,False,1.0000000157837434,False,0.9999999997369083,False,8,outer,100,32768
Bcc1,False,fno_plain,0.56708779245615,9.120469009615693,0.1400906269140137,0.012699687890429981,0.019625383749161375,False,0.28361038719083365,False,0.030377073846539326,False,0.2687072649318356,False,0.45017540287550545,False,0.07220359422714766,False,0.2836102997741199,False,0.030377073752156872,False,0.2687072624238999,False,0.45017538562907417,False,0.07220359287934662,False,1,inner,25,32768
Bcc1,False,fno_plain,0.2842428343743086,5.16146249230746,0.05299497494461419,0.004929812693955753,0.002808467369380286,False,0.31298747092456913,False,0.09540989696383005,False,0.18129547952114766,False,0.6084129429781286,False,0.032868050894802874,False,0.31298744319275923,False,0.09540989668870056,False,0.18129547886207203,False,0.6084129779474429,False,0.032868050655828006,False,2,inner,25,32768
Bcc1,False,fno_plain,0.206312328800559,0.6629754837634786,0.03145675320201685,0.004116861840646624,0.0009895273220125974,False,0.3620476676079592,False,0.028226237649776744,False,0.14446705280493147,False,0.3936502633697504,False,0.02087072934614285,False,0.36204775641131637,False,0.028226238385159405,False,0.14446705221282521,False,0.39365025267608394,False,0.020870729175063163,False,3,middle,25,32768
Bcc1,False,fno_plain,0.3145226957648992,3.583900182126512,0.06196618996066301,0.007610957798224187,0.003839808698240974,False,1.0601745911835314,False,0.4957338078059498,False,0.6499742380838217,False,1.3797246556971203,False,0.42246651017264464,False,1.060174555505762,False,0.49573378436987303,False,0.6499742366596575,False,1.3797247011750464,False,0.4224665083213044,False,4,middle,25,32768
Bcc1,False,fno_plain,0.31028492785990236,1.157981915221658,0.052348538113267444,0.006091864491644985,0.0027403694425962143,False,2.6830790874523,False,1.0378395507153257,False,1.481317629827785,False,2.753978097681188,False,2.1943019204386074,False,2.683079434038142,False,1.0378396184683125,False,1.4813176279127853,False,2.753978120663556,False,2.1943019147651612,False,5,middle,25,32768
