axis,channel,demeaned,ground_truth_available,high_k_axis_anisotropy,high_k_energy,low_k_energy,mid_k_energy,model,oracle_available,parseval_relative_error,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_low_k_energy,retention_vs_canonical_initial_low_k_energy_undefined,retention_vs_canonical_initial_mid_k_energy,retention_vs_canonical_initial_mid_k_energy_undefined,retention_vs_canonical_initial_total_nonzero_mode_energy,retention_vs_canonical_initial_total_nonzero_mode_energy_undefined,spectral_centroid,step,total_nonzero_mode_energy
r,vel1,True,False,143278.2687456317,626.0741888287937,16329.918642224966,850.7281337887367,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.05311192777522551,50,15849.258611973375
combined,vel1,False,False,143278.2687456317,638.0036128363193,34294.84985965804,949.0342661808255,persistence,False,6.08325654478406e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.054016034954659856,50,17806.720964842494
combined,vel1,True,False,143278.2687456317,638.0036128363193,16219.683085825352,949.0342661808255,persistence,False,2.0430369040288333e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.054016034954659856,50,17806.720964842494
phi,vel2,False,False,189816.75391820606,3.7192925800891586e-06,42.07185895153762,1.2445069091762033e-05,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.06681573197199818,50,0.0001617153852216977
phi,vel2,True,False,189816.75391820606,3.7192925800891586e-06,42.07182291391626,1.2445069091762033e-05,persistence,False,1.6888796670810614e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06681573197199818,50,0.0001617153852216977
theta,vel2,False,False,189816.75391820606,0.3979006152815737,41.13417551108133,0.5397989895363899,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.029031962437508003,50,42.068221755832994
theta,vel2,True,False,189816.75391820606,0.3979006152815737,41.134139473459975,0.5397989895363899,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.029031962437508003,50,42.068221755832994
r,vel2,False,False,189816.75391820606,0.7059840444245935,38.95441661562971,2.4114744558449854,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.05773940671459341,50,37.57806603902825
r,vel2,True,False,189816.75391820606,0.7059840444245935,38.954380578008355,2.4114744558449854,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.05773940671459341,50,37.57806603902825
combined,vel2,False,False,189816.75391820606,1.0881546753464493,38.1198744224225,2.863846018130351,persistence,False,1.6888782204327766e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06225401746020806,50,42.07183907827793
combined,vel2,True,False,189816.75391820606,1.0881546753464493,38.119838384801135,2.863846018130351,persistence,False,1.6888796670810614e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.06225401746020806,50,42.07183907827793
phi,vel3,False,False,63420.80128666641,0.00012660167474952516,833.9210850153061,0.000561213251970921,persistence,False,2.7265588074472796e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.1021579894635214,50,0.0023406362784127582
