channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
Bcc2,Stage AD,0.1479934562824452,0.18936440996643653,0.21847269870470398,181,182
Bcc3,Stage AD,0.7007258334042441,0.7232183436935192,0.03110058046150288,181,182
rho,Stage AD,1.3925773239523562,2.260802709832755,0.3840341229706977,181,182
press,Stage AD,0.6117415949109695,0.1990615750645494,-2.073127471801632,181,182
vel1,Stage AD,0.06278372590886078,0.0596298597026528,-0.05289071988320759,181,182
vel2,Stage AD,0.0014639606246212224,0.0012202533128960501,-0.1997186232969752,181,182
vel3,Stage AD,0.07942128813386407,0.08166026159399807,0.027418151943546687,181,182
Bcc1,Stage AG,1.6946815540500364,0.09490774456575615,-16.856093428454496,181,182
Bcc2,Stage AG,0.14662629329260923,0.18936440996643653,0.22569244496049867,181,182
Bcc3,Stage AG,0.3173128138585131,0.7232183436935192,0.5612489414497182,181,182
rho,Stage AG,2.6694161946090236,2.260802709832755,-0.18073823204435913,181,182
press,Stage AG,0.5868211451508456,0.1990615750645494,-1.9479378175348905,181,182
vel1,Stage AG,0.0542370638059683,0.0596298597026528,0.09043784311376779,181,182
vel2,Stage AG,0.0013517542952172087,0.0012202533128960501,-0.10776531473540096,181,182
vel3,Stage AG,0.07557868968072712,0.08166026159399807,0.0744740684705073,181,182
Bcc1,Stage AD,0.36602260383052393,0.12742523461869074,-1.8724499109286765,182,183
Bcc2,Stage AD,0.03562116327237911,0.03382536437642941,-0.05309030454084529,182,183
Bcc3,Stage AD,0.7085984165503301,0.6470771072658812,-0.09507570055197467,182,183
rho,Stage AD,1.7877153159145487,1.0840836435478993,-0.6490566263539055,182,183
press,Stage AD,0.829694135985085,0.30070379998264796,-1.7591740976767247,182,183
vel1,Stage AD,0.07319038727407408,0.06015339074111023,-0.21672920466067858,182,183
vel2,Stage AD,0.0007544353182474157,0.0005925859806956357,-0.27312380451826646,182,183
vel3,Stage AD,0.01965499963267148,0.026743772374747052,0.26506255896678144,182,183
Bcc1,Stage AG,1.6840949967636085,0.12742523461869074,-12.21633820650298,182,183
