channel,pair_count,pearson_p,pearson_r,scope,spearman_p,spearman_r,split,x,y
vel3,42,1.315016961397535e-37,0.992027842102749,per_channel,8.301485470997489e-35,0.9889798233530509,validation,vel3_plain_loss,state_relative_l2
vel3,42,1.4168576527719439e-05,0.6158414773039169,per_channel,3.0061973157024387e-06,0.6512438214083138,validation,vel3_plain_loss,residual_relative_l2
vel3,42,0.1664832786567681,0.2174909435605853,per_channel,0.10405076845620771,0.25435540069686413,validation,vel3_plain_loss,shell_error
vel3,42,0.14510212908784012,0.2287379051939,per_channel,0.04163398456508928,0.315776679361478,validation,vel3_plain_loss,radial_error
rho,42,1.901847772479593e-37,0.9918788507607061,per_channel,7.440329848926041e-56,0.9990276314723282,validation,rho_plain_loss,state_relative_l2
rho,42,0.05144376142159545,0.3025901434482604,per_channel,0.051395602778310734,0.30264970423790616,validation,rho_plain_loss,residual_relative_l2
rho,42,0.06688515657141658,0.2854517653381701,per_channel,0.00013726351748810702,0.5548172757475083,validation,rho_plain_loss,shell_error
rho,42,0.0017403438311321918,0.4687776430106415,per_channel,5.4301344300197694e-05,0.5812332874159307,validation,rho_plain_loss,radial_error
press,42,1.0573400479445496e-38,0.9929748863191163,per_channel,2.47463947665972e-36,0.9907624989871162,validation,press_plain_loss,state_relative_l2
press,42,0.05194152656422576,0.3019771407080212,per_channel,0.014335154676967504,0.3752532209707479,validation,press_plain_loss,residual_relative_l2
press,42,0.1635584120115112,0.21896489584263099,per_channel,6.868332786772533e-05,0.574750830564784,validation,press_plain_loss,shell_error
press,42,0.05398367732368289,0.29951060941401786,per_channel,0.0007464265417689885,0.5000405153553197,validation,press_plain_loss,radial_error
all,210,0.1898325399955632,0.09082775721346756,aggregate,4.02387067022339e-35,0.7220396963973915,combined,plain_residual_loss,state_relative_l2
all,210,0.655611033426914,-0.03095298127635512,aggregate,0.11292529499805494,-0.1097122383727522,combined,plain_residual_loss,residual_relative_l2
all,210,0.89689946776328,0.008995314868640157,aggregate,0.24541643593713963,-0.08050522687589287,combined,plain_residual_loss,residual_cosine_error
all,210,1.2680862423099955e-10,0.42508621831975446,aggregate,2.4150930561794595e-31,0.6926629369632612,combined,plain_residual_loss,shell_error
all,210,3.227758186900576e-09,0.3941820099449791,aggregate,4.143534203368195e-13,0.47308296592407345,combined,plain_residual_loss,radial_error
all,210,1.2547032095725203e-15,0.5151019548034785,aggregate,3.0191486764230802e-92,0.9298098758313276,combined,plain_residual_loss,physical_relative_l2
all,210,2.9608121683893497e-24,0.6260686553215808,aggregate,2.0474256701067327e-30,0.6848623065634789,combined,plain_residual_loss,rho_press_physical_tail_contribution
Bcc2,210,4.864034381371602e-38,0.7424055369431646,per_channel,1.7576946264276694e-36,0.7317632728957248,combined,Bcc2_plain_loss,state_relative_l2
Bcc2,210,0.027185758742595448,0.15244237439987285,per_channel,0.6496570771542872,-0.031525820151412566,combined,Bcc2_plain_loss,residual_relative_l2
Bcc2,210,5.1684440829104174e-17,0.535962596874218,per_channel,8.325341254928686e-26,0.6421428409455349,combined,Bcc2_plain_loss,shell_error
