candidate_gate2_severe_global,candidate_gate2_severe_shell_radial,channel,delta_shrink_ratio,finite,first_delta_norm,first_global_variance_ratio_over_input,first_radial_variance_ratio_over_input,first_shell_variance_ratio_over_input,first_std,global_variance_ratio_second_over_first,legacy_flags,model_application_count,radial_variance_ratio_second_over_first,second_delta_norm,second_std,shell_variance_ratio_second_over_first,snapshot,std_ratio_second_over_first
False,False,Bcc1,0.26584220370217565,True,277.38189697265625,0.5311041225767327,302.2368384410171,0.6369477873929332,0.8118422627449036,0.9123046749768644,"[""Bcc1:possible_high_frequency_ripple""]",2,1.1248322717901054,73.73981475830078,0.7754282355308533,0.9528526041958076,91,0.9551464257466327
False,False,Bcc2,0.5617852844460425,True,400.7052917480469,0.9811604077613861,0.997007022883144,1.7951695832313694,2.9706642627716064,0.9255640176788903,"[""Bcc2:possible_high_frequency_ripple""]",2,0.961931803083203,225.11033630371094,2.857964277267456,0.9697837561926456,91,0.9620623619718635
False,False,Bcc3,0.6234458184064471,True,612.1996459960938,0.8876298665103626,9.972873164149522,0.9714976258969498,4.076050281524658,0.9448717708810361,"[""Bcc3:possible_field_collapse""]",2,1.602850899293059,381.6733093261719,3.9621050357818604,1.0727304351000924,91,0.9720451815181789
False,False,rho,0.3408063155348982,True,307.38818359375,0.5907760875759205,1.569307129651639,0.5617013385213657,0.9051992893218994,0.8479113750618226,[],2,0.8361748972859094,104.75983428955078,0.8335264921188354,0.8762982747475567,91,0.9208209749515432
False,False,press,0.36359993103552074,True,227.096923828125,0.6763015740096462,0.7621654650853464,0.5889344351290038,0.8266634941101074,0.8319849937492854,[],2,0.8197796604658618,82.57242584228516,0.7540263533592224,0.8682498953100093,91,0.9121321538105684
False,False,vel1,0.3296976555137106,True,325.106201171875,0.7001840368428777,1.0724447715452303,0.434385692731988,1.0970501899719238,0.9153301604124467,"[""vel1:possible_stripe_anisotropy""]",2,0.9228013280227201,107.18675231933594,1.0495796203613281,0.7674936974947278,91,0.9567288989651325
False,False,vel2,0.5885402025692941,True,491.8955993652344,0.6701718849048768,29.13228688501058,1.136128487495969,2.094224452972412,0.8230867374674373,"[""vel2:possible_stripe_anisotropy""]",2,1.3640508678137822,289.5003356933594,1.8999669551849365,0.909109067583072,91,0.9072413190898624
False,False,vel3,0.5915703276797564,True,429.0503845214844,0.8771932144610779,0.8534048833509943,1.1071405510328458,2.655822515487671,0.8625147621636206,[],2,0.7394090561984685,253.8134765625,2.4665069580078125,0.9690601804780445,91,0.9287167887252076
False,False,Bcc1,0.2851270240704162,True,304.8560791015625,0.5099319429741097,169.59027209243843,0.6507394135484378,0.8240541219711304,0.8755303338311906,[],2,1.2600005886567993,86.9227066040039,0.7710656523704529,0.912680028190028,92,0.9356978283490294
False,False,Bcc2,0.4801854883173331,True,520.0753173828125,0.9516758890221724,0.9652956707722445,2.079098012575262,2.8651678562164307,0.9264605325584843,[],2,0.9618812009463966,249.7326202392578,2.7578048706054688,1.0054642929141424,92,0.9625282039312213
False,False,Bcc3,0.6108076318724793,True,662.7063598632812,0.8508967990771863,16.792568747998022,0.9553446639385443,4.038679599761963,0.9363408783312086,"[""Bcc3:possible_field_collapse""]",2,1.3808375525681256,404.7861022949219,3.9080164432525635,0.9164700665529726,92,0.9676470605598174
False,False,rho,0.31707132399753674,True,375.04052734375,0.491918717836275,1.8036519963726982,0.39635607012708635,0.8413859605789185,0.790023490582718,[],2,0.8295483208950134,118.91459655761719,0.7478513121604919,0.8468263817154901,92,0.8888326489854077
False,False,press,0.35671385493778285,True,265.3684387207031,0.5772889831497404,0.6299625025292662,0.44235981881498493,0.7839020490646362,0.7742170919644139,[],2,0.7639817787711318,94.66059875488281,0.6897523403167725,0.8992002546431556,92,0.8798960803072212
False,False,vel1,0.2943576969608522,True,398.149169921875,0.6275653188105185,1.1319293588521622,0.3812877493115364,1.0405470132827759,0.8815014646031754,"[""vel1:possible_stripe_anisotropy""]",2,0.9017197218135937,117.19827270507812,0.9769519567489624,0.8011437027237365,92,0.9388830531230106
False,False,vel2,0.5689798016559372,True,601.735107421875,0.591752543025813,56.22468326643547,0.9785840573761122,1.9186973571777344,0.791127568404656,"[""vel2:possible_stripe_anisotropy""]",2,1.3914442689780278,342.3751220703125,1.706592082977295,0.8815681127025948,92,0.8894535016650927
