channel,correlation,delta_cosine,delta_norm,delta_over_state_norm,delta_sign_agreement,ground_truth_available,mean_shift,model_oracle_delta_norm_ratio,oracle_delta_norm,output_mean,output_std,persistence_distance,radial_transport_error,radial_transport_sign_agreement,radial_transport_skill,shell_transport_error,shell_transport_sign_agreement,shell_transport_skill,snapshot,state_mean,state_std
press,0.8202349051900587,0.037313453752113646,356.2882995605469,0.5882265658206243,0.5041007995605469,True,-0.2274678349494934,4.383253136951142,81.28398895263672,0.051370494067668915,0.9450947642326355,356.2882995605469,11.47995943650001,0.28125,-10.47995943650001,6.061040464034261,0.5,-5.061040464034261,94,0.2788383364677429,1.149674892425537
vel1,0.5621951241508331,-0.08651539021558016,544.4999389648438,0.872209501877515,0.4858741760253906,True,-0.024488195776939392,1.715303701547373,317.43646240234375,0.11012203991413116,1.0362374782562256,544.4999389648438,0.9115754401199546,0.4375,0.08842455988004538,2.275003165845995,0.25,-1.275003165845995,94,0.13461023569107056,1.2118366956710815
vel2,0.8817938976840144,0.1436977642453845,564.1582641601562,0.508174795738689,0.5161514282226562,True,0.16995404660701752,0.7228271086724842,780.488525390625,0.18474458158016205,2.2854223251342773,564.1582641601562,44.79090481249638,0.578125,-43.79090481249638,0.9004605488575325,0.75,0.09953945114246754,94,0.014790534973144531,2.1682419776916504
vel3,0.9242703448667692,-0.1454685792915088,637.965576171875,0.2946769405057748,0.24884033203125,True,-0.6105120182037354,2.832470894992447,225.23287963867188,2.572650194168091,2.798201560974121,637.965576171875,3.419783435776097,0.0,-2.419783435776097,8.647235612975681,0.0,-7.647235612975681,94,3.183162212371826,2.7833902835845947
Bcc1,0.8956886819436284,-0.30438628058776224,299.98114013671875,0.45170039330512785,0.3697700500488281,True,0.05288463830947876,19.96287493098262,15.02695083618164,0.04896360635757446,1.073523759841919,299.98114013671875,198.01321385579,0.765625,-197.01321385579,25.895763160580092,0.5,-24.895763160580092,96,-0.003921031951904297,1.2970942258834839
Bcc2,0.7724870271410575,0.2690018279789512,1058.032470703125,0.6161571124208868,0.3927001953125,True,-0.0019876956939697266,1.7966167463778615,588.9027099609375,-0.8197271823883057,2.4489786624908447,1058.032470703125,2.9665291515595302,0.203125,-1.9665291515595302,6.13698793250637,0.75,-5.13698793250637,96,-0.8177394866943359,3.2525830268859863
Bcc3,0.9424673366948771,-0.2791206513141782,813.7752075195312,0.33479956110345677,0.15494155883789062,True,-0.05214691162109375,6.500080593504584,125.19463348388672,-0.03424525260925293,4.404354572296143,813.7752075195312,61.36201145463499,0.5,-60.36201145463499,8.427194741627734,0.25,-7.4271947416277335,96,0.01790165901184082,4.747298717498779
rho,0.6217698729469496,-0.05414374186155446,682.855224609375,0.8071967267403982,0.41255950927734375,True,-0.7580793499946594,11.548189808551406,59.13093185424805,0.24834269285202026,1.2030949592590332,682.855224609375,25.55777808452817,0.21875,-24.55777808452817,17.442092428040525,0.625,-16.442092428040525,96,1.0064220428466797,1.3103774785995483
press,0.759882346715586,0.1209400857199559,404.1117858886719,0.6605094137768116,0.5169410705566406,True,-0.22970709204673767,6.003259828703153,67.31539154052734,0.07801973819732666,0.9598944187164307,404.1117858886719,11.90368879635821,0.578125,-10.90368879635821,12.235259202409,0.375,-11.235259202409,96,0.30772683024406433,1.1546549797058105
vel1,0.4719343435373885,-0.34320923476030424,782.4365234375,0.896219661429495,0.3423004150390625,True,-0.5383912920951843,4.4421320323763105,176.13986206054688,0.10874181240797043,1.0777479410171509,782.4365234375,3.8161010891540594,0.078125,-2.8161010891540594,5.167197589008275,0.25,-4.167197589008275,96,0.6471331119537354,1.5775877237319946
