basis,channel_in,channel_out,epsilon_consistency_tolerance,epsilon_large,epsilon_relative_gain_difference,epsilon_small,gain_large,gain_small,nonlinear_response_warning,phase_large,phase_small,state_count
directional:theta_mid_k,vel3,vel3,0.1,0.01,2.9514041853296695,0.001,0.3200652599334717,1.2647072076797485,True,0.5730779054730224,0.12262720167162185,9
radial:constant,Bcc1,Bcc1,0.1,0.01,7.424102891550009,0.001,0.07598507404327393,0.6401060819625854,True,,,9
radial:constant,Bcc2,Bcc2,0.1,0.01,3.6284625782531723,0.001,0.30041998624801636,1.3904826641082764,True,,,9
radial:constant,Bcc3,Bcc3,0.1,0.01,4.3640471356386055,0.001,0.28080254793167114,1.5062381029129028,True,,,9
radial:constant,press,press,0.1,0.01,7.427422012642514,0.001,0.08418896794319153,0.7094959616661072,True,,,9
radial:constant,rho,rho,0.1,0.01,7.164936681583172,0.001,0.11530626565217972,0.941468358039856,True,,,9
radial:constant,vel1,vel1,0.1,0.01,7.068329354606076,0.001,0.10535894334316254,0.8500706553459167,True,,,9
radial:constant,vel2,vel2,0.1,0.01,6.503522734499044,0.001,0.2055038958787918,1.5420031547546387,True,,,9
radial:constant,vel3,vel3,0.1,0.01,5.7819319962207585,0.001,0.18889634311199188,1.2810821533203125,True,,,9
radial:inner_localized,Bcc1,Bcc1,0.1,0.01,6.302621646242828,0.001,0.0855318209845913,0.6246065273646431,True,0.06865535339811744,0.006449405897625835,9
radial:inner_localized,Bcc2,Bcc2,0.1,0.01,1.361233123417924,0.001,0.6300194638979115,1.4876228265537517,True,0.8330643817168834,0.3427880481810691,9
radial:inner_localized,Bcc3,Bcc3,0.1,0.01,4.627518123828794,0.001,0.28895323210675905,1.6260895506196946,True,0.18419653777721273,0.05175301640758474,9
radial:inner_localized,press,press,0.1,0.01,5.7980003556107444,0.001,0.10291380303584355,0.6996080696349185,True,0.4953133667828376,0.0713987044471291,9
radial:inner_localized,rho,rho,0.1,0.01,6.760257381902767,0.001,0.11673050324502607,0.9058587495004385,True,0.14730961895289968,0.018701815570732087,9
radial:inner_localized,vel1,vel1,0.1,0.01,5.472828082831506,0.001,0.12935621317364057,0.8373005293190795,True,0.37010338652896174,0.05741158858526146,9
radial:inner_localized,vel2,vel2,0.1,0.01,3.946485910613197,0.001,0.31607596970057306,1.5634653308072883,True,0.42960036770488735,0.09101240310570965,9
