all_cross_channel,axis,band,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
True,phi,low_k,press,vel3,True,0.001,1.4147664308547974,0.008023812558471776,1.2438829011387296,0.00394685016571569,1.2616409063339233,0.0036054385921196887,0.9031402468681335,-0.001902667819512483,phi_low_k,9
True,phi,low_k,rho,Bcc1,True,0.001,0.6810255646705627,0.00112946961593086,0.5979339016808404,-0.0016599432487913982,0.6142988204956055,-0.0011348655589244407,0.4151149392127991,-0.004038989163166213,phi_low_k,9
True,phi,low_k,rho,Bcc2,True,0.001,1.3644020557403564,0.0036248457578668186,1.228078027566274,-0.00030971768338319323,1.2861753702163696,-0.00016997497483412782,0.8516432642936707,-0.0029897870571355934,phi_low_k,9
True,phi,low_k,rho,Bcc3,True,0.001,1.7613290548324585,0.008188219770213782,1.5576785537931654,0.004667108568210558,1.6204421520233154,0.004867732766155892,1.0591492652893066,0.0018837325641783333,phi_low_k,9
True,phi,low_k,rho,press,True,0.001,0.7507128715515137,0.0022742735319725496,0.6597349445025126,-7.666323185135738e-05,0.6869406700134277,0.0004168226651940257,0.46442461013793945,-0.0019478957805969066,phi_low_k,9
False,phi,low_k,rho,rho,False,0.001,0.9646662473678589,0.0013968146719283098,0.8532329599062601,-0.0016657764425675415,0.8887578845024109,-0.0006994631457443594,0.6072508692741394,-0.005681453932030296,phi_low_k,9
True,phi,low_k,rho,vel1,True,0.001,0.9031267166137695,0.003183099079646369,0.7884915868441263,0.0013495033281403085,0.8110724687576294,0.0009137927103782752,0.5269790291786194,-0.0008327516353734551,phi_low_k,9
True,phi,low_k,rho,vel2,True,0.001,1.6125370264053345,0.008221808930591013,1.4245429105228848,0.0033509453043526205,1.4733763933181763,0.003268539453505243,0.9851569533348083,-0.0003928242461659102,phi_low_k,9
True,phi,low_k,rho,vel3,True,0.001,1.4242558479309082,0.002718845033759856,1.2509302496910095,0.0007383364963994277,1.2807573080062866,0.0013628337794174892,0.8929988741874695,-0.0017493028301491212,phi_low_k,9
True,phi,low_k,vel1,Bcc1,True,0.001,0.6730786561965942,0.007453476493564869,0.5924975706471337,0.004545722841805092,0.6077067255973816,0.004552807529142413,0.4126673638820648,0.0021354482127176905,phi_low_k,9
True,phi,low_k,vel1,Bcc2,True,0.001,1.341894268989563,0.005845913540826836,1.214850087960561,0.002934074106989294,1.2674846649169922,0.002239070054721294,0.8461560606956482,0.0008798964377316541,phi_low_k,9
