all_cross_channel,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
False,Bcc3,Bcc3,False,0.001,1.5103368759155273,0.019030610962577427,1.4099429183536105,0.00544193257923108,1.4368882179260254,0.003293679769595874,1.1597179174423218,0.0011725877884531232,linear_log_r,9
True,Bcc3,press,True,0.001,0.7012971043586731,-0.01795832766705903,0.6326368318663703,-0.03114595794681408,0.6506880521774292,-0.027698216704000682,0.48275065422058105,-0.0563202741637348,linear_log_r,9
True,Bcc3,rho,True,0.001,0.908892035484314,0.019504499396056977,0.8274859322441949,0.004564281397908076,0.8470452427864075,0.005133613996269323,0.653316855430603,-0.004454838858989003,linear_log_r,9
True,Bcc3,vel1,True,0.001,0.8062288761138916,0.0035074191060380697,0.7277428838941786,-0.013757893182633485,0.7473671436309814,-0.010874211940191341,0.5483959317207336,-0.047617240286553654,linear_log_r,9
True,Bcc3,vel2,True,0.001,1.4018213748931885,-0.0019444109913322274,1.3038728766971164,-0.016192085012346997,1.3311359882354736,-0.013248968185283958,1.0688716173171997,-0.036542383062612045,linear_log_r,9
True,Bcc3,vel3,True,0.001,1.2630778551101685,-0.053530406027893995,1.1654662556118436,-0.06817427282324094,1.1910542249679565,-0.06433902380870628,0.9390188455581665,-0.09262893886869061,linear_log_r,9
True,press,Bcc1,True,0.001,0.6809700131416321,0.019239218048033788,0.6060742172929976,0.0073348455706088445,0.628278911113739,0.008615040608133713,0.4439607560634613,-0.01515819437392215,linear_log_r,9
True,press,Bcc2,True,0.001,1.3545739650726318,0.007951135712058043,1.2569043967458937,-0.012961617096947034,1.2976369857788086,-0.015201965062928893,0.94845050573349,-0.028934259731281164,linear_log_r,9
True,press,Bcc3,True,0.001,1.7586424350738525,0.015513945765881268,1.5960308048460219,0.004435583084776547,1.6365594863891602,0.0037594473926828528,1.228857398033142,-0.006584294964280374,linear_log_r,9
False,press,press,False,0.001,0.7543608546257019,0.05642812364048889,0.6704301767879062,0.04611227133966281,0.6937511563301086,0.0447695334356606,0.5046053528785706,0.04173617797214199,linear_log_r,9
True,press,rho,True,0.001,0.9672295451164246,0.014577013327672335,0.8638195461697049,0.0022294258993831697,0.8920561671257019,9.13000540991961e-05,0.6533707976341248,-0.011609932968200174,linear_log_r,9
True,press,vel1,True,0.001,0.8970140814781189,0.04640603566994372,0.8060065905253092,0.03759002915904803,0.8349055051803589,0.03615790276049603,0.5914618372917175,0.03231994426747889,linear_log_r,9
True,press,vel2,True,0.001,1.6041752099990845,0.009087760755502338,1.4508850309583876,-0.003901120772274934,1.5159087181091309,-0.006156461457845261,1.054913878440857,-0.011553517035374657,linear_log_r,9
True,press,vel3,True,0.001,1.431004285812378,0.1050423530699227,1.2792766690254211,0.09001103941702283,1.312355399131775,0.0893538914426857,0.9856439232826233,0.06661007406503867,linear_log_r,9
