channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
vel1,Anisotropic spherical DISCO3D LocalNO,0.06633017657157457,0.05328148538706503,-0.24490104000886825,173,174
vel2,Anisotropic spherical DISCO3D LocalNO,0.007999119602572689,0.0010406628600375335,-6.68656200749221,173,174
vel3,Anisotropic spherical DISCO3D LocalNO,0.02855124046102108,0.01831156012931891,-0.5591921310575425,173,174
Bcc1,Persistence,0.004139106142910496,0.14442263202226,0.9713403219083244,174,175
Bcc2,Persistence,0.1408448170460872,0.1408446102629985,-1.4681647264591646e-06,174,175
Bcc3,Persistence,0.7857325165096188,0.7857318129122008,-8.954676473660328e-07,174,175
rho,Persistence,0.43405459858351064,0.4340531291467718,-3.3853845073927857e-06,174,175
press,Persistence,0.07381376726353242,0.07380834378442429,-7.348056913425438e-05,174,175
vel1,Persistence,0.05210005697882414,0.06115341583587764,0.14804338781909965,174,175
vel2,Persistence,0.00082074566757386,0.0011025126615683202,0.2555680345599367,174,175
vel3,Persistence,0.05039632200764783,0.05039633906047189,3.3837426249849756e-07,174,175
Bcc1,FNO,0.8537792997392848,0.14442263202226,-4.911672483629096,174,175
Bcc2,FNO,0.03339230579697911,0.1408446102629985,0.7629138542495463,174,175
Bcc3,FNO,0.6967648540730461,0.7857318129122008,0.11322814906706091,174,175
rho,FNO,4420.102252543028,0.4340531291467718,-10182.320786632099,174,175
press,FNO,0.5977026272885602,0.07380834378442429,-7.098036030103859,174,175
vel1,FNO,0.10314266537758943,0.06115341583587764,-0.6866214906850294,174,175
vel2,FNO,0.0027883859031139187,0.0011025126615683202,-1.529119165985314,174,175
vel3,FNO,0.032470146380401785,0.05039633906047189,0.35570426372756947,174,175
Bcc1,3D CNN/U-Net,0.6570822821664793,0.14442263202226,-3.549718232978905,174,175
Bcc2,3D CNN/U-Net,0.41730414642916286,0.1408446102629985,-1.962869119733675,174,175
Bcc3,3D CNN/U-Net,0.4021915040944992,0.7857318129122008,0.4881313223097906,174,175
rho,3D CNN/U-Net,8.3925801196857,0.4340531291467718,-18.335375225109395,174,175
press,3D CNN/U-Net,9050.222150704389,0.07380834378442429,-122616.8733550481,174,175
vel1,3D CNN/U-Net,0.0726584862173523,0.06115341583587764,-0.1881345501999716,174,175
