channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
vel1,Differential LocalNO,0.08314794238093694,0.06520061661353399,175
vel2,Differential LocalNO,0.0031739958786254825,4.645790220519455e-05,175
vel3,Differential LocalNO,0.026352079435111236,0.0045496632351866885,175
Bcc1,Index-space DISCO3D LocalNO,0.8188612977223371,3.1836178526779912,175
Bcc2,Index-space DISCO3D LocalNO,0.13274568185412844,0.2350554046213922,175
Bcc3,Index-space DISCO3D LocalNO,0.5195534528532056,12.571822469592599,175
rho,Index-space DISCO3D LocalNO,4.684438989316927,14.795173303558085,175
press,Index-space DISCO3D LocalNO,16.23183216733465,118258.10644956569,175
vel1,Index-space DISCO3D LocalNO,0.052162554483558735,0.04534159983893833,175
vel2,Index-space DISCO3D LocalNO,0.002091112099729428,5.369855694509501e-05,175
vel3,Index-space DISCO3D LocalNO,0.04047524803613068,0.002722534563966986,175
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.2263749291252926,3.169668631610828,175
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.09611568363978865,0.16941029433070012,175
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.4917172027088497,0.4381176832518478,175
rho,Anisotropic spherical DISCO3D LocalNO,7.0453271063390615,136.4825168115177,175
press,Anisotropic spherical DISCO3D LocalNO,0.36723644614578815,259.0380840511131,175
vel1,Anisotropic spherical DISCO3D LocalNO,0.06909360308686678,0.05094453268363455,175
vel2,Anisotropic spherical DISCO3D LocalNO,0.005486939045298823,7.476668056253616e-05,175
vel3,Anisotropic spherical DISCO3D LocalNO,0.03559508981535659,0.002934158264472438,175
Bcc1,Persistence,0.004829936659811687,0.11585985033410698,176
Bcc2,Persistence,0.09682418153529541,0.004507795850637146,176
Bcc3,Persistence,0.731950754850713,2.488837879321043,176
rho,Persistence,0.5715777276326166,12.145278658360422,176
press,Persistence,0.23138823061286726,0.81204530633615,176
vel1,Persistence,0.04919508073805804,0.007840846252105294,176
vel2,Persistence,0.0005435760231666815,2.5489932347170045e-05,176
vel3,Persistence,0.01220439778783822,0.0020281232593676118,176
Bcc1,FNO,0.9257251451652042,3.9022010224192836,176
