clipping_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,train_loss_max,train_loss_mean,train_loss_min
1.0,3137.0233545929996,45.57392699377878,77.00036142553601,1.5411102771759033,16.61005973815918,106,29.343549272999553,648.0830078125,906.0,0.9999999375570388,1991.406005859375,136.21116619450706,0.0009981295231028088,0.000998245403059827,17808,168,0,4452,42,23.617719934100197,693.2847290039062,18.38549188236218,0.06685450673103333
1.0,3166.318162904,48.292220175266266,84.45813654150281,2.6662981510162354,16.59708023071289,107,29.294808311000452,648.0830078125,906.0,0.9999999474911463,2343.893310546875,159.03318796839034,0.0009980069823955057,0.00099812665056104,17976,168,0,4494,42,24.66780414467766,628.1285400390625,17.47088363103657,0.06089787557721138
1.0,3195.89470524,57.600206119673594,115.18806853748504,2.3042678833007812,16.585798263549805,108,29.576542335999875,648.0830078125,906.0,0.9999999318804059,4706.8564453125,205.92363632292975,0.0009978805620288154,0.000998004017469669,18144,168,0,4536,42,35.61059372481846,1198.639892578125,21.09902716840484,0.07362149655818939
1.0,3225.2361570619996,50.84628698371706,97.02089306286403,3.976101875305176,16.57037353515625,109,29.341451821999726,648.0830078125,906.0,0.9999999474911463,3500.589599609375,173.58052509171623,0.000997750262988589,0.000997877504742032,18312,168,0,4578,42,29.805677711963654,982.445068359375,19.034049110708846,0.07699321210384369
1.0,3254.771137820999,48.625736497697375,88.62130809965588,1.319392442703247,16.552810668945312,110,29.534980758999154,648.0830078125,906.0,0.9999999191079821,3410.598388671875,166.1046741065525,0.0009976160862909247,0.0009977471133647,18480,168,0,4620,42,26.67539056284087,897.6067504882812,18.738645122785652,0.06338408589363098
1.0,3284.473628503998,46.08273475510733,78.02652093342373,2.87139892578125,16.53913688659668,111,29.70249068299927,648.0830078125,906.0,0.9999999347187224,2261.406005859375,147.8611095178695,0.0009974780329821595,0.0009976128443544916,18648,168,0,4662,42,23.730123627753485,655.077880859375,17.602348611911847,0.0719316303730011
1.0,3313.9601769759984,50.17340828123547,90.38194935662406,2.01444149017334,16.532718658447266,112,29.486548472000322,648.0830078125,906.0,0.9999999375570388,1820.176513671875,163.66194033055078,0.0009973361041388607,0.0009974746987584636,18816,168,0,4704,42,27.4888018767039,568.07568359375,17.909377080077928,0.07436849176883698
1.0,3343.533790823998,38.81194728896732,70.77684190443584,1.7609812021255493,16.517486572265625,113,29.573613847999695,648.0830078125,906.0,0.9999999347187224,1903.2265625,125.71313419796172,0.0009971903008678179,0.000997332677653903,18984,168,0,4746,42,23.970581310135977,481.62738037109375,16.100417924290966,0.05446559935808182
1.0,3373.0228776319973,54.114678043694724,92.9671913626648,0.8372030854225159,16.506000518798828,114,29.48908680799923,648.0830078125,906.0,0.9999999191079821,3212.8056640625,169.0166445260956,0.0009970406243060344,0.000997186782148319,19152,168,0,4788,42,28.14881152978965,714.3606567382812,17.808507330760005,0.0594245120882988
1.0,3402.571922551997,51.674368333248864,84.97668718440192,1.2302240133285522,16.491241455078125,115,29.549044919999687,648.0830078125,906.0,0.9999999332995642,2308.096435546875,163.40364444823493,0.000996887075620718,0.0009970370133794335,19320,168,0,4830,42,26.459829602922714,660.654296875,18.104937088010566,0.06702738255262375
