channel,epoch,model_normalized_relative_l2,optimizer_updates,persistence_normalized_relative_l2,residual_cosine,residual_relative_l2,stratum,variant
Bcc3,150,0.2165243521859447,,0.3148480173478991,0.7331910100248281,0.6877107056374407,middle,coordinate_fd
rho,150,0.1921504452929729,,0.14518316783081658,0.06422021250667229,1.3235035998312337,middle,coordinate_fd
press,150,0.14668816493067796,,0.14011055201229025,0.109883750934916,1.0469458780990775,middle,coordinate_fd
vel1,150,0.10425131724598301,,0.08163292422444476,0.06008637346809008,1.2770743946058574,middle,coordinate_fd
vel2,150,0.8575077810659946,,0.7639180383780854,0.24594098524793553,1.1225128063480778,middle,coordinate_fd
vel3,150,0.1668173103786285,,0.14083191587384428,0.1900602866943352,1.1845135342327942,middle,coordinate_fd
Bcc1,150,0.30371637262455736,,0.35219681138038617,0.5366081391444083,0.8623484449739265,late,coordinate_fd
Bcc2,150,0.5189230544330103,,0.6209637953125721,0.5848450800135961,0.8356736064988337,late,coordinate_fd
Bcc3,150,0.2452220737644454,,0.3311387993674422,0.6934986794664646,0.7405416528244305,late,coordinate_fd
rho,150,0.23582877816726674,,0.17915811053359348,0.0412113994235147,1.316316506489027,late,coordinate_fd
press,150,0.1763973918688829,,0.16601350087591196,0.0669874668512337,1.0625484730106904,late,coordinate_fd
vel1,150,0.16238280140197553,,0.13324031644956305,0.002528710977070808,1.2187212228535382,late,coordinate_fd
vel2,150,0.9994508505793757,,0.793967478635199,0.18262837649230348,1.2588057794533,late,coordinate_fd
vel3,150,0.2065657782819943,,0.160779238683388,0.15871075390255038,1.2847789301237234,late,coordinate_fd
Bcc1,150,29.486379087006465,,0.28482598497927486,0.005041649905194479,103.52418868590821,early,spherical_proxy_fd
Bcc2,150,48.31265657409364,,0.45674479255146005,0.005589605469330089,105.77604411941633,early,spherical_proxy_fd
Bcc3,150,23.44095050180244,,0.2773950099583625,0.00854258339794869,84.50386591867053,early,spherical_proxy_fd
rho,150,34.94679059269371,,0.13682514428780992,3.392294980412132e-05,255.41205202669994,early,spherical_proxy_fd
press,150,39.34700780135264,,0.1251784263599631,0.00025302243758649757,314.3273901438267,early,spherical_proxy_fd
vel1,150,20.1839702101691,,0.06278456799878314,-0.0008911934993968585,321.47979781610337,early,spherical_proxy_fd
vel2,150,431.9986129059208,,0.6837038712736601,0.0007578381746995543,631.8504685016666,early,spherical_proxy_fd
