absolute_error,channel,delta_model,delta_persistence,delta_true,error_l2,ground_truth_available,input,metric_source,model,model_state_metric,persistence_error_l2,persistence_relative_skill,persistence_relative_skill_undefined,reference_domain,relative_error,relative_error_undefined,signed_transport_agreement,source_snapshot,step,target,target_snapshot,transport_cosine,transport_cosine_undefined
[0.0001891251596727872],Bcc2,[-0.00045304617255195745],[0.0],[-0.00026392101287917025],0.0001891251596727872,True,[0.0007407964432218227],frozen_rollout_saved_statistics,localno_plain,[0.00028775027066986524],0.00026392101287917025,0.2834024179826352,False,canonical_oracle,0.7165975820173648,False,1.0,93,3,[0.00047687543034265244],94,1.0,False
[1.3331123658484787e-06],Bcc3,[0.0],[0.0],[1.3331123658484787e-06],1.3331123658484787e-06,True,[1.387695722424527e-05],computed_canonical_persistence,persistence,[1.387695722424527e-05],1.3331123658484787e-06,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[1.5210069590093748e-05],94,,True
[6.001864677561152e-06],Bcc3,[-4.668752311712674e-06],[0.0],[1.3331123658484787e-06],6.001864677561152e-06,True,[1.387695722424527e-05],stage_l_saved_selected_step_metrics,fno_plain,[9.208204912532596e-06],1.3331123658484787e-06,-3.5021446288521814,False,canonical_oracle,4.502144628852181,False,0.0,93,3,[1.5210069590093748e-05],94,-1.0,False
[6.159349365970739e-06],Bcc3,[-4.82623700012226e-06],[0.0],[1.3331123658484787e-06],6.159349365970739e-06,True,[1.387695722424527e-05],stage_l_saved_selected_step_metrics,fno_full,[9.05072022412301e-06],1.3331123658484787e-06,-3.620277722838863,False,canonical_oracle,4.620277722838863,False,0.0,93,3,[1.5210069590093748e-05],94,-1.0,False
[1.0274281461734438e-05],Bcc3,[-8.94116909588596e-06],[0.0],[1.3331123658484787e-06],1.0274281461734438e-05,True,[1.387695722424527e-05],frozen_rollout_saved_statistics,localno_plain,[4.935788128359309e-06],1.3331123658484787e-06,-6.7069883416730764,False,canonical_oracle,7.7069883416730764,False,0.0,93,3,[1.5210069590093748e-05],94,-1.0,False
[16.243957200975544],rho,[0.0],[0.0],[16.243957200975544],16.243957200975544,True,[1.133950247566545],computed_canonical_persistence,persistence,[1.133950247566545],16.243957200975544,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[17.37790744854209],94,,True
[17.3572753504432],rho,[-1.113318149467654],[0.0],[16.243957200975544],17.3572753504432,True,[1.133950247566545],stage_l_saved_selected_step_metrics,fno_plain,[0.020632098098890973],16.243957200975544,-0.06853737274072569,False,canonical_oracle,1.0685373727407257,False,0.0,93,3,[17.37790744854209],94,-1.0,False
[17.340273193270974],rho,[-1.0963159922954322],[0.0],[16.243957200975544],17.340273193270974,True,[1.133950247566545],stage_l_saved_selected_step_metrics,fno_full,[0.03763425527111296],16.243957200975544,-0.06749069692387466,False,canonical_oracle,1.0674906969238747,False,0.0,93,3,[17.37790744854209],94,-1.0,False
[17.373035884512188],rho,[-1.1290786835366449],[0.0],[16.243957200975544],17.373035884512188,True,[1.133950247566545],frozen_rollout_saved_statistics,localno_plain,[0.0048715640299001476],16.243957200975544,-0.06950761255815396,False,canonical_oracle,1.069507612558154,False,0.0,93,3,[17.37790744854209],94,-1.0,False
[0.04995719636668939],press,[0.0],[0.0],[0.04995719636668939],0.04995719636668939,True,[0.002365403967551317],computed_canonical_persistence,persistence,[0.002365403967551317],0.04995719636668939,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[0.05232260033424071],94,,True
