channel,dynamic_span_ratio,global_std_ratio,global_variance_ratio,high_k_ratio,model,radial_profile_variance_ratio,reference_domain,severe_categories,shell_radial_variance_ratio,shell_std_ratio,step,total_variation_ratio
Bcc2,0.5782691174417303,1.0373817445186089,1.0761608838604724,2.261853212674209,fno_plain,2.025161636397484,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",2.025161636397484,"[0.610324401893521,1.6681282838269682,3.436913315446361,3.106312050885421,1.0505285346869497,1.419599791537431,2.3136974798412284,4.766532482422545]",3,2.1011249009550848
Bcc2,0.5716990824362699,1.0362962955646975,1.0739100122011151,2.152842435971543,fno_plain,3.712019191436321,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",2.362651996325855,"[0.5827100293568906,1.61411574246422,5.78082631092781,1.4559994376993728,1.2426715477568973,1.4515638831182942,2.97081005980906,5.008937593294977]",5,2.233520938113732
Bcc2,0.5721695608085153,0.9931462692375319,0.9863395121004281,2.479182042096597,fno_plain,1.444551364380795,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",1.444551364380795,"[0.6310856642312942,1.4036149543196836,5.26505661934722,0.49447046078252166,0.7457404874484256,1.0953452558147136,4.12995343116213,6.32017821068401]",10,2.013099530484765
Bcc2,0.5709663100329637,0.7224203603309897,0.5218911770207569,1.3282458679245426,fno_plain,0.5943881043697807,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.5943881043697807,"[0.36100834891586264,1.0247279464716108,5.437189117872849,0.7187883442901525,0.6231860758466878,0.546240678514499,4.644713193056779,6.876103541923281]",19,1.5396791760778843
Bcc3,1.0,0.860129414491732,0.7398226096738898,0.6083552718583906,fno_plain,22.014226460674813,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.7832441430463484,"[0.8876941966982537,0.7942037112847888,0.7906012787275262,0.9450578650064843,0.9787470434320943,0.8823192728490854,0.878108521075698,1.4780222335358273]",1,0.9888677158443059
Bcc3,1.0,0.7780757625992399,0.6054018923443887,0.7883937171154587,fno_plain,195.46836740443203,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.690985599910773,"[0.8334724523228472,0.7472780451671993,0.6774819004651104,0.8337788877329089,0.829032490943802,0.6957408421044087,0.9075313546677722,1.4188625608114982]",3,2.243424514644878
Bcc3,1.0,0.7367729898910133,0.5428344386329429,0.702873889717968,fno_plain,230.9388475193599,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.5631714528309995,"[0.8115679829208949,0.7387498525706905,0.653835866995811,0.7619655904230729,0.6799606254461282,0.5896446078823749,0.9478461001577427,1.2685202042659338]",5,2.622071725943187
Bcc3,1.0,0.6818748190773186,0.4649532688917261,0.5174820959403106,fno_plain,580.9351994991027,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":true,""high_k_energy"":false,""shell_radial_variance"":false}",0.5349220899906453,"[0.7547055466190185,0.7072932333083495,0.6480049671302429,0.8115574118619339,0.45569638816891794,0.273859193791313,0.8672161720813575,0.9707608876070974]",10,2.949105050551882
Bcc3,1.0,0.6556692344841679,0.4299021450490547,0.45384577658073527,fno_plain,959.643584334265,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.4612550246032907,"[0.7007298272136967,0.6568772780814117,0.7120591825649532,0.8382449588142692,0.3602014936146121,0.17385366846308395,0.45567639038568347,0.7422517876704215]",19,2.990885540973317
rho,0.4401848235135111,0.34824134767181275,0.12127203622828037,0.006116955000800667,fno_plain,0.3468790972371532,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.011304449292693622,"[0.22216686641025296,0.013404286244061675,0.0014103890243120348,0.014828916195180668,0.03553265304082347,0.14610383004311592,1.2409810906435206,1.6647314190799047]",1,0.2540280296762604
