channel,domain,dynamic_span_q99_q01,element_count,evaluation_bounds_clamp_occupancy,exact_zero_occupancy,finite_count,gradient_energy,high_k_energy,inverse_clamp_occupancy,low_k_energy,maximum,mean,mid_k_energy,minimum,near_zero_occupancy,parseval_relative_error,q001,q01,q50,q99,q999,radial_profile_variance,rms,role,saturation_occupancy_abs_ge_0.90_gamma,shell_variance,sign_balance,snapshot,stage,std,total_variation,variance
Bcc2,nonlinear_representation,3.8180307085658995,262144,,0.0,262144,0.055393174492880344,2930.745315922669,,160666.85587177772,2.0069424504272253,-0.5501017970728117,7414.42835173166,-2.2401103236607978,3.814697265625e-05,1.7018586666163695e-16,-2.227072813110963,-2.1729594332472306,-0.12656652549798775,1.6450712753186687,1.9989342925189224,0.4682332710868667,0.9772262320546814,control_input,,"[1.8060685456930718,0.19247628376837375,0.21027101310118795,0.05641122580436375,0.008306763364949052,0.0016669078256152585,0.00031997173641734974,3.0130966941417117e-05]",-0.6792449951171875,91,T1_forward_nonlinear,0.8076875147438229,0.03218926948874582,0.6523591214730532
Bcc2,robust_z,33.10883705954498,262144,,0.0,262144,4.165482107976873,220387.5710008638,,12081902.140575245,17.907978174909495,-4.265955930593072,557553.6864020001,-18.921211796007636,0.0,2.896839551753503e-16,-18.808154346917945,-18.338899064965922,-0.5931828792709934,14.769937994579061,17.838533789682774,35.21042675253276,8.200901746051771,control_input,,"[135.81359583988544,14.473922529030895,15.81205899314807,4.242038011512092,0.6246559163411076,0.12534892226007793,0.024061385817057135,0.0022658026884999592]",-0.12109375,91,T2_robust_normalized_unclipped,7.004028087224722,0.2791358582259746,49.05640944663279
Bcc2,canonical_normalized,11.886821630259082,262144,,0.0,262144,1.2261671962452623,55517.036896733414,0.108642578125,2186507.1358344895,5.969406634614671,-1.9804963841350745,115776.3049786795,-5.978159421827638,0.0,1.9749817328056077e-16,-5.97732222106039,-5.973491006643049,-0.5912578048216526,5.913330623616033,5.9686920645271995,6.856940886626287,3.5939756486071786,control_input,0.284912109375,"[22.202898738616284,0.3333053687050974,1.3140979510626152,2.2177876236398495,0.5831795671214197,0.12459693152755816,0.023813501165651646,0.0022416016674320985]",-0.12109375,91,T3_forward_softclip_canonical_normalized,2.9990490218082937,0.10880565671457697,8.994295035209284
Bcc2,canonical_normalized,11.886821630259082,262144,,0.0,262144,1.2261671962452623,55517.036896733414,0.108642578125,2186507.1358344895,5.969406634614671,-1.9804963841350745,115776.3049786795,-5.978159421827638,0.0,1.9749817328056077e-16,-5.97732222106039,-5.973491006643049,-0.5912578048216526,5.913330623616033,5.9686920645271995,6.856940886626287,3.5939756486071786,control_input,0.284912109375,"[22.202898738616284,0.3333053687050974,1.3140979510626152,2.2177876236398495,0.5831795671214197,0.12459693152755816,0.023813501165651646,0.0022416016674320985]",-0.12109375,91,T4_decode_input_no_forward_hard_clamp,2.9990490218082937,0.10880565671457697,8.994295035209284
Bcc2,robust_z,30.649852468752506,262144,,0.0,262144,4.111083880430641,202186.82321553482,0.108642578125,11071416.878070999,15.879914474173443,-4.12952445811438,535411.1237344459,-15.879914474173443,0.0,1.5773078252763122e-16,-15.879914474173443,-15.879914474173443,-0.5931828792709934,14.769937994579063,15.879914474173443,32.51941773378865,7.880405371102269,control_input,,"[124.8661355505379,10.496885182776582,14.949872642573391,4.242038011512092,0.6246559163411075,0.12534892226007793,0.024061385817057135,0.0022658026884999592]",-0.12109375,91,T5_inverse_input_clamp_then_inverse_softclip,6.711767022381856,0.2585916452199806,45.04781656273261
Bcc2,nonlinear_representation,3.5344665754418276,262144,,0.0,262144,0.054669779113315185,2688.7091789667707,0.108642578125,147229.27889570774,1.77307106816115,-0.5343688508928629,7119.9733989149045,-1.8893953001231587,3.814697265625e-05,3.7065980968720593e-16,-1.8893953001231587,-1.8893953001231587,-0.12656652549798775,1.645071275318669,1.77307106816115,0.432447849790325,0.9405330143260173,control_input,,"[1.6604876591732558,0.13958907456301137,0.198805536182849,0.05641122580436375,0.008306763364949052,0.0016669078256152585,0.0003199717364173497,3.0130966941417124e-05]",-0.6792449951171875,91,T6_inverse_robust_normalization,0.7739846782931982,0.029820160721828536,0.5990522822326254
Bcc2,physical,0.11968115497380497,262144,,3.814697265625e-06,262144,3.73393155914227e-05,2.3110039648263334,0.108642578125,184.72008310611633,0.05830228701233864,-0.013688311778032085,4.494736002074772,-0.07651675492525101,0.003643035888671875,2.9679245309462534e-16,-0.07651675492525101,-0.07651675492525101,-0.000338340294547379,0.04316440004855395,0.05830228701233864,0.0004461651491322671,0.030298232834702236,control_input,,"[0.0018369118197596765,0.0007160299727162891,0.0004742843825194035,3.350270226431208e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730843e-10]",-0.6792411804199219,91,T7_inverse_nonlinear_canonical_oracle,0.02702985448671925,0.000979207128337155,0.0007306130335732169
Bcc2,physical,0.11968115497380497,262144,0.0,3.814697265625e-06,262144,3.73393155914227e-05,2.3110039648263334,,184.72008310611633,0.05830228701233864,-0.013688311778032085,4.494736002074772,-0.07651675492525101,0.003643035888671875,2.9679245309462534e-16,-0.07651675492525101,-0.07651675492525101,-0.000338340294547379,0.04316440004855395,0.05830228701233864,0.0004461651491322671,0.030298232834702236,control_input,,"[0.0018369118197596765,0.0007160299727162891,0.0004742843825194035,3.350270226431208e-06,9.612155570567787e-08,1.159494375407849e-08,1.8383856613932637e-09,1.6559271887730843e-10]",-0.6792411804199219,91,T8_evaluation_bounds_clamp_then_decode,0.02702985448671925,0.000979207128337155,0.0007306130335732169
Bcc3,physical,2.1351942455768587,262144,,0.0,262144,0.005870523714262905,2059.110073900007,,16847.29044423406,2.4070205688476562,0.000801201404866424,2710.449912661496,-2.407193899154663,0.004150390625,0.0,-2.275498867034912,-1.0581356954574586,3.533805283950642e-07,1.0770585501194,2.275477886199951,4.006482127820209e-06,0.28716264059496244,control_input,,"[0.6360614165415306,0.02127066064576992,0.0021369403607011863,0.00018357058247287614,1.6354096023451614e-05,1.3401822776418755e-06,1.0433961559283217e-07,4.966729008859469e-09]",0.00634765625,91,T0_raw_physical,0.28716152289222246,0.01004269754996648,0.08246174022978041
Bcc3,nonlinear_representation,4.064879365039076,262144,,0.0,262144,0.03971632244399344,5739.593296547389,,126854.50265199522,2.383280346269887,0.003983803964334679,8803.294984106848,-2.383311489445851,0.00048828125,2.0583003876356158e-16,-2.3589810103374003,-2.0286264287645004,1.5346849961327695e-05,2.036252936274576,2.3589770235042393,4.410492275412849e-05,0.7344413599813897,control_input,,"[2.896524945351273,0.9966423291312225,0.320361620300772,0.08361346654714202,0.015575893278515409,0.0019037750114193025,0.00018122027966107802,9.141599370468533e-06]",0.00634765625,91,T1_forward_nonlinear,0.7344305552993332,0.030806495738564893,0.539388240557287
