split,batch,source_index,target_index,case,component,batch_size,epoch,finite,gradient_nonzero,gradient_norm,roi_ramp,weighted_value
train,1,12,13,isolated_vel3,roi,1,1,True,True,1.88032936421223e-05,0.0026666666381061077,0.0024861448910087347
train,1,12,13,isolated_vel3,bounds,1,1,True,True,1.0806551387076979e-07,0.0026666666381061077,1.530688820139403e-08
train,1,12,13,isolated_vel3,envelope,1,1,True,True,0.0001871437270892784,0.0026666666381061077,0.04590450972318649
train,1,12,13,isolated_vel3,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_vel3,total,1,1,True,True,0.10098029673099518,0.0026666666381061077,6.58328914642334
train,2,13,14,normalized_target,base,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,normalized_target,h1,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,normalized_target,roi,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,normalized_target,bounds,1,374,True,True,1.078901519235842e-07,0.9973333477973938,1.5257127117251912e-08
train,2,13,14,normalized_target,envelope,1,374,True,True,0.00018408299365546554,0.9973333477973938,0.04441560432314873
train,2,13,14,normalized_target,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,normalized_target,total,1,374,True,True,0.00018408299365546554,0.9973333477973938,0.04441561922430992
train,2,13,14,persistence_normalized_input,base,1,374,True,True,0.007819232530891895,0.9973333477973938,3.827251434326172
train,2,13,14,persistence_normalized_input,h1,1,374,True,True,0.5465959906578064,0.9973333477973938,146.17080688476562
train,2,13,14,persistence_normalized_input,roi,1,374,True,True,0.007136569358408451,0.9973333477973938,1.7591499090194702
train,2,13,14,persistence_normalized_input,bounds,1,374,True,True,1.0806551387076979e-07,0.9973333477973938,1.530688820139403e-08
train,2,13,14,persistence_normalized_input,envelope,1,374,True,True,0.0001871437270892784,0.9973333477973938,0.04590450972318649
train,2,13,14,persistence_normalized_input,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,persistence_normalized_input,total,1,374,True,True,0.5531773567199707,0.9973333477973938,151.80311584472656
train,2,13,14,zero_tensor,base,1,374,True,True,0.021955670788884163,0.9973333477973938,29.079309463500977
train,2,13,14,zero_tensor,h1,1,374,True,True,0.9505787491798401,0.9973333477973938,556.631103515625
train,2,13,14,zero_tensor,roi,1,374,True,True,0.007136649917811155,0.9973333477973938,7.97866678237915
train,2,13,14,zero_tensor,bounds,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,zero_tensor,envelope,1,374,True,True,0.00013139451039023697,0.9973333477973938,0.022633323445916176
train,2,13,14,zero_tensor,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,zero_tensor,total,1,374,True,True,0.9628618955612183,0.9973333477973938,593.711669921875
train,2,13,14,deterministic_random,base,1,374,True,True,0.024975169450044632,0.9973333477973938,37.651893615722656
train,2,13,14,deterministic_random,h1,1,374,True,True,3.7865662574768066,0.9973333477973938,3013.941650390625
train,2,13,14,deterministic_random,roi,1,374,True,True,0.007136564236134291,0.9973333477973938,8.463788032531738
train,2,13,14,deterministic_random,bounds,1,374,True,True,1.5241416804201435e-05,0.9973333477973938,0.00030448127654381096
train,2,13,14,deterministic_random,envelope,1,374,True,True,0.00024520777515135705,0.9973333477973938,0.07880982756614685
train,2,13,14,deterministic_random,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,deterministic_random,total,1,374,True,True,3.800926446914673,0.9973333477973938,3060.136474609375
train,2,13,14,isolated_Bcc1,base,1,374,True,True,0.0027063381858170033,0.9973333477973938,0.4000030755996704
train,2,13,14,isolated_Bcc1,h1,1,374,True,True,0.10001488775014877,0.9973333477973938,6.201562404632568
train,2,13,14,isolated_Bcc1,roi,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_Bcc1,bounds,1,374,True,True,1.078901519235842e-07,0.9973333477973938,1.5257127117251912e-08
train,2,13,14,isolated_Bcc1,envelope,1,374,True,True,0.00018408299365546554,0.9973333477973938,0.04441560432314873
train,2,13,14,isolated_Bcc1,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_Bcc1,total,1,374,True,True,0.10117432475090027,0.9973333477973938,6.6459808349609375
train,2,13,14,isolated_Bcc3,base,1,374,True,True,0.002706338418647647,0.9973333477973938,0.4000030755996704
train,2,13,14,isolated_Bcc3,h1,1,374,True,True,0.10001488775014877,0.9973333477973938,6.201562404632568
train,2,13,14,isolated_Bcc3,roi,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_Bcc3,bounds,1,374,True,True,1.078901519235842e-07,0.9973333477973938,1.5257127117251912e-08
train,2,13,14,isolated_Bcc3,envelope,1,374,True,True,0.00018408299365546554,0.9973333477973938,0.04441560432314873
train,2,13,14,isolated_Bcc3,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_Bcc3,total,1,374,True,True,0.10117433965206146,0.9973333477973938,6.6459808349609375
train,2,13,14,isolated_rho,base,1,374,True,True,0.0022552809678018093,0.9973333477973938,0.33333587646484375
train,2,13,14,isolated_rho,h1,1,374,True,True,0.10001488775014877,0.9973333477973938,6.201562404632568
train,2,13,14,isolated_rho,roi,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_rho,bounds,1,374,True,True,1.3777770618617069e-05,0.9973333477973938,0.00024880902492441237
train,2,13,14,isolated_rho,envelope,1,374,True,True,0.0002115396928275004,0.9973333477973938,0.05865345150232315
train,2,13,14,isolated_rho,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_rho,total,1,374,True,True,0.10101796686649323,0.9973333477973938,6.5938005447387695
train,2,13,14,isolated_press,base,1,374,True,True,0.0022552809678018093,0.9973333477973938,0.33333587646484375
train,2,13,14,isolated_press,h1,1,374,True,True,0.10001488775014877,0.9973333477973938,6.201562404632568
train,2,13,14,isolated_press,roi,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_press,bounds,1,374,True,True,1.3216671504778787e-05,0.9973333477973938,0.0002289571420988068
train,2,13,14,isolated_press,envelope,1,374,True,True,0.0001989380398299545,0.9973333477973938,0.051873721182346344
