clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate,learning_rate_start,microbatches_completed,microbatches_this_epoch,model,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_max,train_loss_mean,train_loss_median,train_loss_min
1.0,1043.0860094669993,90,11.561056716000166,515.2626953125,706.0,0.9999999403953552,878.6932983398438,119.34915154888516,0.0009995618536343797,0.0009996170194656504,15120,168,cnn,0,3780,42,1107.2425537109375,25.76092801092281,3.6552863121032715,0.10432104021310806
1.0,1054.617873759999,91,11.531864292999671,515.2626953125,706.0,0.9999999290420896,575.4463500976562,74.2118741784777,0.0009995014968447265,0.0009995604617938074,15288,168,cnn,0,3822,42,961.3697509765625,23.757370209143986,3.560395359992981,0.1067793071269989
1.0,1066.2048775939988,92,11.587003833999916,515.2626953125,706.0,0.9999999233654567,681.0925903320312,83.59520648774647,0.000999437248741162,0.0009995000123482329,15456,168,cnn,0,3864,42,999.1529541015625,22.997943783178926,3.516161799430847,0.08825965225696564
1.0,1077.826036390999,93,11.621158797000135,515.2626953125,706.0,0.9999999375570388,960.6259155273438,80.73003649711609,0.0009993691098247057,0.0009994356716003232,15624,168,cnn,0,3906,42,1048.2020263671875,22.4377757525515,3.598701238632202,0.10329805314540863
1.0,1089.4456959779986,94,11.61965958699966,515.2626953125,706.0,0.9999999020780835,800.1390380859375,85.5541061219715,0.000999297080626719,0.0009993674400518209,15792,168,cnn,0,3948,42,911.8724975585938,21.330456157347985,3.452934741973877,0.1242886632680893
1.0,1101.000023836999,95,11.554327859000296,515.2626953125,706.0,0.9999999233654567,411.9751281738281,68.19539655957904,0.0009992211617088995,0.000999295318234809,15960,168,cnn,0,3990,42,894.7733154296875,21.063604081980884,3.717474937438965,0.11554349213838577
1.0,1112.6436324989986,96,11.643608661999679,515.2626953125,706.0,0.9999999176888239,752.84375,74.93322952588399,0.0009991413536632786,0.0009992193067117083,16128,168,cnn,0,4032,42,946.9928588867188,21.020739491940255,3.535155773162842,0.10205814242362976
1.0,1124.245014272999,97,11.601381774000401,515.2626953125,706.0,0.9999999290420896,590.8831787109375,70.11622244971139,0.0009990576571122154,0.0009991394060752715,16296,168,cnn,0,4074,42,924.9116821289062,20.18335143467855,3.229893445968628,0.08654095232486725
1.0,1135.8231777919987,98,11.578163518999645,515.2626953125,706.0,0.9999999290420896,661.0364990234375,90.36664623305911,0.000998970072708392,0.0009990556169485801,16464,168,cnn,0,4116,42,823.049072265625,19.90865237243651,3.441470146179199,0.08384305238723755
1.0,1147.395345823998,99,11.572168031999354,515.2626953125,706.0,0.9999999290420896,894.8931884765625,70.72132219587054,0.00099887860113481,0.0009989679399850383,16632,168,cnn,0,4158,42,773.8189697265625,17.88844514691404,3.5042266845703125,0.1021835058927536
1.0,1158.9686650619983,100,11.573319238000295,515.2626953125,706.0,0.9999999205271403,1075.855712890625,100.43619726385388,0.0009987832431047822,0.000998876375868369,16800,168,cnn,0,4200,42,815.6572875976562,18.508532916816574,3.494966745376587,0.10079111158847809
1.0,1170.5663646009984,101,11.597699539000132,515.2626953125,706.0,0.9999999134313493,552.915283203125,68.77030483881633,0.0009986839993619302,0.0009987809253126072,16968,168,cnn,0,4242,42,779.621826171875,17.79292211446556,3.2379848957061768,0.09170077741146088
1.0,1182.1856945169989,102,11.619329916000424,515.2626953125,706.0,0.9999999318804059,362.3226318359375,79.23247714269729,0.0009985808706801766,0.000998681589062096,17136,168,cnn,0,4284,42,752.0809326171875,18.207714566827885,3.5303720235824585,0.10037249326705933
1.0,1193.7576832649988,103,11.571988747999967,515.2626953125,706.0,0.999999938976197,1081.6463623046875,85.41659100850423,0.0009984738578637396,0.000998578367891479,17304,168,cnn,0,4326,42,811.4685668945312,17.327769427782012,3.404832601547241,0.11101183295249939
1.0,1205.298906911999,104,11.541223647000152,515.2626953125,706.0,0.9999999148505074,442.8432312011719,75.06645385424297,0.0009983629617471264,0.0009984712626056956,17472,168,cnn,0,4368,42,704.4981689453125,16.991827224913454,3.178463935852051,0.0967845767736435
