alpha,channel,decoder_derivative_finite,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,evaluation_clamp_occupancy,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_0_passed,gate_1_floor_reference,gate_2_failed,gate_3_passed,global_variance_retention,high_k_retention,inverse_clamp_occupancy,inverse_clamp_policy,legacy_flags,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_relative_l2,normalized_state_norm,physical_finite,physical_maximum,physical_minimum,physical_relative_l2_to_p3_oracle,physical_relative_l2_to_raw,radial_transport_skill,residual_cosine,residual_norm,residual_over_true_residual,residual_sign_agreement,rho_press_positive,rout_failure,shell_radial_variance_retention,shell_transport_skill,source_index,split,stage_p_primary_driver,target_index,true_residual_norm
0.0,Bcc2,True,0.003732422882758284,0.0002915888521648163,0.19166275037581043,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,1.7688346043796441,1.2606456298327424,0.0,no_softclip,,0.0,0.0,0.0,0.3315169959061234,15619.57421875,True,0.013056579977273941,-0.006817858666181564,0.4782942940535342,0.478294184221419,3.023630285037271e-07,0.0,0.0,0.0,0.496826171875,True,True,1.1868014569024425,6.696413362705655e-07,12,train,True,13,328.48943956134093
0.0,Bcc3,True,0.004159291767552953,0.00027285993756514756,0.1689637562731035,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,1.0290534435141945,0.9692866869065052,0.0,no_softclip,,0.0,0.0,0.0,0.10938805667607641,15619.57421875,True,0.14299657940864563,-0.14299683272838593,0.1687223243549867,0.1687223238983896,-6.094024223912697e-06,0.0,0.0,0.0,0.536376953125,True,True,0.9454346632443367,2.2457427639732686e-07,12,train,True,13,1269.1738971273307
0.0,rho,True,3.240034027214069,0.0017013003498116094,0.8712731572591689,0.0,0.0,0.00439453125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.008426070213317871,0.0018759206050910182,0.07370784687738265,15619.57421875,True,1.0102945566177368,3.7623226489813533e-06,0.017373166132578506,0.01737312797079565,,0.0,0.0,0.0,0.47756195068359375,True,True,,,12,train,False,13,38.819024420795
0.0,press,True,0.0573069776843183,0.00017259520600711582,1.0287558293193353,0.00390625,0.001953125,0.005126953125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,2.384185791015625e-07,0.024935483932495117,0.00540468458879927,0.12450338170845045,15619.57421875,True,0.018524672836065292,2.0342165285569536e-08,0.1736292365346456,0.1736288963831328,,0.0,0.0,0.0,0.42724609375,True,True,,,12,train,False,13,62.25306423923606
0.0,vel1,True,1.850070967842491,0.18527360654135075,4.836695341765432,0.0,0.0,0.0009765625,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,1.368151224136355,0.2358263557458485,0.416029086366426,15619.57421875,True,2.218406915664673,-0.047662459313869476,0.34376262134033275,0.3437626191106897,,0.0,0.0,0.0,0.440185546875,True,True,,,12,train,False,13,188.32227458583534
0.0,vel2,True,0.11188367259458562,0.0023153980244667817,1.1035201363949674,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.02685546875,canonical,,0.0,0.0,0.0,0.41738444740057956,15619.57421875,True,0.03573155030608177,-0.03573150932788849,0.6499360195454769,0.6293914618874493,,0.0,0.0,0.0,0.49658203125,True,True,,,12,train,False,13,527.3125168502196
0.0,vel3,True,0.006249537981890898,0.006249537981890898,1.0,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,1.0110590375272732,1.0003769388683732,0.0,no_softclip,,0.0,0.0,0.0,0.07400399750509168,15619.57421875,True,0.6382623314857483,-0.001937019289471209,0.07297926912177254,0.07297927105871672,1.2492280767606445e-06,0.0,0.0,0.0,0.58740234375,True,True,1.0032684450677212,8.139443208654562e-06,12,train,True,13,760.8810860587245
0.125,Bcc1,True,1.957176649395019,0.01652922158992955,1.028091341371383,0.0,0.0,0.000244140625,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,Bcc1:possible_high_frequency_ripple,0.0,0.05467820167541504,0.017189393588937098,0.1371031970231225,15568.5126953125,True,0.16980643570423126,-0.4919842481613159,0.4915555419474052,0.4915556440501959,,0.047618788882520906,25.30809135620506,0.726679728984544,0.5790786743164062,True,True,,,12,train,False,13,34.827022616373746
0.125,Bcc2,True,0.0034850151006486888,0.0002955316532712787,0.1789581728204233,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,True,1.5149959115988718,1.1017470252186155,0.0,no_softclip,,0.0,0.0,0.0,0.27709625792151604,15568.5126953125,True,0.012124824337661266,-0.0058152927085757256,0.3843903510229915,0.38439025968589924,0.23744556441887932,0.5786593969764607,129.97737431196083,0.39568204836517834,0.5402450561523438,True,True,1.2774511905033128,0.374158138046483,12,train,True,13,328.48943956134093
0.125,Bcc3,True,0.004001827903828797,0.0002729442542855415,0.16256706967860607,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.9830385013617989,0.9129639158324239,0.0,no_softclip,,0.0,0.0,0.0,0.10509656388270311,15568.5126953125,True,0.13634052872657776,-0.1372046321630478,0.16030027902776503,0.16030027885058962,-7.566633611639908,0.4197325960592758,132.87161563785222,0.10469141851923998,0.5652427673339844,True,True,0.8714460741575529,0.48544029852820325,12,train,True,13,1269.1738971273307
0.125,rho,True,2.1075851363550746,0.0016648533462317976,0.5667478614486966,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0,0.0,0.10649337774857567,15568.5126953125,True,0.6708323359489441,6.172528628667351e-06,0.3424715631332112,0.3424713464111704,,0.10075894914774484,44.58085394580022,1.1484279837264189,0.5829124450683594,True,True,,,12,train,False,13,38.819024420795
