alpha,application,channel,decoded_maximum,decoded_minimum,decoded_variance,fixed_point_tendency,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_2_failed,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_state_norm,output_delta,radial_variance,rout_failure,second_over_first_delta,shell_variance,state
1.0,1,Bcc3,0.10392662137746811,-0.11418483406305313,0.00028211216205609554,,0.0,0.0,False,0.0,0.0,0.0,14846.6796875,0.1612173651554607,4.0940169810273394e-07,True,,"[0.002232167531770681, 2.3881190102223528e-05, 4.481115576363319e-07, 2.6220020306025737e-08, 1.0899393492003334e-08, 8.930951841561932e-09, 1.5784554796917415e-08, 3.49082749329505e-08]",train_early
1.0,1,rho,1.1604106426239014,1.0612573532853276e-05,0.0008018986224593177,,0.0,0.00012969970703125,,0.0,0.0023351953029635553,0.0005198913461244662,14846.6796875,0.1612173651554607,4.499278180631502e-05,True,,"[0.0010161229217188184, 5.481365355294777e-06, 1.950699812207659e-07, 1.4089373529934627e-07, 2.211877071669177e-07, 5.0333635144508514e-05, 0.0003313692301619396, 0.004782426628247166]",train_early
1.0,1,press,0.01892666704952717,2.6527262164677268e-08,2.5431413324630355e-06,,0.00091552734375,0.0048828125,,1.5657804012298584,2.2362653017044067,0.4847031902532226,14846.6796875,0.1612173651554607,8.279128566230569e-07,True,,"[1.696186888321839e-05, 8.406897216484521e-08, 4.04656375597213e-09, 2.054056346117314e-09, 6.679933270882445e-10, 7.831093637746775e-10, 4.3349194721441416e-09, 5.050395685563964e-09]",train_early
1.0,1,vel1,1.0945073366165161,-0.10444478690624237,0.014531332376847705,,0.0,0.000244140625,,0.0,0.19447672367095947,0.03352168693900458,14846.6796875,0.1612173651554607,0.007101892034243178,True,,"[0.03182686180661981, 0.0034563651478825737, 0.0017453038715370844, 0.0016259782819189985, 0.0026805109531662084, 0.008743613002628808, 0.011074943636612225, 0.008904585815513198]",train_early
1.0,1,vel2,0.03573155030608177,-0.03573150932788849,1.6256862272271314e-05,,0.0029296875,0.0029296875,,1.7255196571350098,1.7255291938781738,0.143794328044777,14846.6796875,0.1612173651554607,1.1653475211290505e-06,True,,"[8.661991993896289e-05, 2.8779564742015485e-05, 6.5000531556717524e-06, 3.752088668539317e-06, 1.8411168607808303e-06, 4.165378599664191e-07, 5.042963008258405e-07, 1.2723268786591909e-06]",train_early
1.0,1,vel3,0.6695538759231567,-0.005907684564590454,0.013585432350467096,,0.0,0.000732421875,False,0.0,0.20223618006706245,0.0010459111945321624,14846.6796875,0.1612173651554607,0.01341644646323895,True,,"[0.021634626343496506, 0.0008797281174978931, 0.00010379567962195095, 4.9184012189883355e-05, 9.79868200061326e-06, 5.077814171405036e-06, 6.830159033104657e-06, 1.5827266995568723e-05]",train_early
1.0,2,Bcc1,8.644805908203125,-2020.3433837890625,937.7528115735971,True,0.0066680908203125,0.01131439208984375,,1.652815580368042,1.8756067752838135,0.5896416138522508,14984.6728515625,0.06507976089471786,16.1012602857097,True,0.40367711525344635,"[7485.941265870127, 0.00016803049071308491, 4.667443296230173e-05, 2.2846257957148456e-06, 4.420308926485855e-06, 4.370704897535795e-06, 1.7301335198697625e-05, 0.0002369509611117804]",train_early
1.0,2,Bcc2,0.0075737047009170055,-0.00520637771114707,1.2253824078023845e-06,True,0.0,0.0,True,0.0,0.0,0.0,14984.6728515625,0.06507976089471786,8.290102368920935e-07,True,0.40367711525344635,"[6.3466662572584175e-06, 1.6654504066568767e-07, 1.0263834280569859e-07, 6.441383662137072e-08, 3.3191998958418325e-08, 5.935545734729473e-09, 3.103753885175793e-09, 1.529736002204703e-08]",train_early
1.0,2,Bcc3,0.09801716357469559,-0.10251463949680328,0.00025988410620259863,True,0.0,0.0,False,0.0,0.0,0.0,14984.6728515625,0.06507976089471786,4.829649096714204e-07,True,0.40367711525344635,"[0.0020481636512159774, 3.006959335463671e-05, 6.390166586446065e-07, 5.0747100025667384e-08, 2.5962669980335094e-08, 1.2123361656691642e-08, 1.4752898359061909e-08, 5.454263983709388e-08]",train_early
1.0,2,rho,0.2990892231464386,3.665635176730575e-06,0.00021431757350297937,True,0.00048828125,0.00048828125,,0.9815418720245361,0.9900051355361938,0.22040773289105883,14984.6728515625,0.06507976089471786,3.5555071926383544e-05,True,0.40367711525344635,"[0.0001841692455088825, 9.21364025765216e-06, 3.264614215674522e-07, 1.344298119297173e-07, 2.1663092973154976e-07, 7.215851433930171e-05, 0.0005500810904575125, 0.0006529816691754071]",train_early
