collapse_count,flag_count,flags,ground_truth_available,ripple_count,step,stripe_count
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,37,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,38,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,39,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,40,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,41,1
0,9,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel2:possible_stripe_anisotropy;vel3:possible_high_frequency_ripple,False,8,42,1
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,43,0
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,44,0
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,45,0
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,46,0
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,47,0
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,48,0
0,8,Bcc1:possible_high_frequency_ripple;Bcc2:possible_high_frequency_ripple;Bcc3:possible_high_frequency_ripple;rho:possible_high_frequency_ripple;press:possible_high_frequency_ripple;vel1:possible_high_frequency_ripple;vel2:possible_high_frequency_ripple;vel3:possible_high_frequency_ripple,False,8,49,0
