absolute_difference,channel,increment_profile,profile_cosine,profile_relative_l2,r,radial_index,reference_increment_profile,reference_semantics,resolution,source_snapshot,target_snapshot,reproduction_scope
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,4.882976450453103,27,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,5.154926985817571,28,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,5.442023425413907,29,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,5.745109299168216,30,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,6.065075116224574,31,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,6.402860981386783,32,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,6.759459357279181,33,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,7.135917980342143,34,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,7.533342939229853,35,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,7.952901924655145,36,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,8.395827660229887,37,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,8.863421524381222,38,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,9.357057373985363,39,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,9.878185580953318,40,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,10.428337293628594,41,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,11.009128935517507,42,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,11.622266954569932,43,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,12.26955283696463,44,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,12.952888400130318,45,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.9258397019750634,1.8416938596463401,13.674281380554133,46,0.0,HIGHER_RES_SAMPLING_REFERENCE,96,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
