absolute_difference,channel,increment_mean,r_edge_left,r_edge_right,radial_cells,reference_increment_mean,reference_semantics,resolution,shell,shell_vector_cosine,shell_vector_relative_l2,source_snapshot,target_snapshot,reproduction_scope
0.0,Bcc2,0.0,4.080518713983782,7.779709125817875,16,0.0,HIGHER_RES_SAMPLING_REFERENCE,128,2,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,7.779709125817875,14.832397134933096,16,0.0,HIGHER_RES_SAMPLING_REFERENCE,128,3,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,-3.7471295700850264e-08,14.832397134933096,28.278692841905322,16,-3.7471295700850264e-08,HIGHER_RES_SAMPLING_REFERENCE,128,4,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,-8.89681672083623e-06,28.278692841905322,53.91471530676722,16,-8.89681672083623e-06,HIGHER_RES_SAMPLING_REFERENCE,128,5,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,6.270348491639425e-08,53.91471530676722,102.79104988552615,16,6.270348491639425e-08,HIGHER_RES_SAMPLING_REFERENCE,128,6,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,2.4773578722487563e-09,102.79104988552615,195.97617972105846,16,2.4773578722487563e-09,HIGHER_RES_SAMPLING_REFERENCE,128,7,1.0,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc3,0.0,1.1456345721309733,2.1731385678184307,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,-0.9999999320350373,1.5996674530471062,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc3,0.0,2.1731385678184307,4.122196859122056,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,1,-0.9999999320350373,1.5996674530471062,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc3,0.0,4.122196859122056,7.819338903185626,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,2,-0.9999999320350373,1.5996674530471062,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc3,0.0,7.819338903185626,14.832397134933096,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,3,-0.9999999320350373,1.5996674530471062,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.5787038339745555e-12,Bcc3,-2.564524391118779e-12,14.832397134933096,28.135371479901284,8,1.4179442855776691e-14,HIGHER_RES_SAMPLING_REFERENCE,64,4,-0.9999999320350373,1.5996674530471062,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
