channel,field_loss_inner,field_loss_middle,field_loss_outer,global_cosine,global_relative_l2,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,maximum,minimum,q001,q999,radial_profile_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_maximum,reference_minimum,reference_q001,reference_q999,reference_resolution,reference_semantics,resolution,shell_mean_relative_l2,shell_variance_relative_l2,snapshot,reproduction_scope
rho,0.10006150829769497,0.045117881722717426,0.0899240385403026,0.9964411023050783,0.08992641824327155,7.061473969906772e-05,0.002122860271612934,0.9978771397283871,1.3014475107192993,3.7739985145890387e-06,3.8036087062209845e-06,1.1109411716461182,0.06941286738007542,0.0021934750113120015,0.997806524988688,1.267763614654541,3.885701062245062e-06,3.9183087210403755e-06,1.1051239967346191,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.05321821425427279,0.055872952508001644,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
rho,0.052312640815976315,0.029976646673041757,0.08125630357943844,0.9967403193310848,0.08125108880006086,0.00045077006658103005,0.001906745101916492,0.9980932548980835,1.267763614654541,3.6556702980306e-06,3.6915887449140428e-06,1.1051239967346191,0.037365932201803835,0.002357515168497522,0.9976424848315025,1.3014475107192993,3.6556702980306e-06,3.6637368339142995e-06,1.1064091920852661,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.015487564810528712,0.006100207679172201,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
rho,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.001460948342987632,0.9985390516570124,1.3014475107192993,3.6556702980306e-06,3.6908734273310984e-06,1.1064091920852661,0.0,0.001460948342987632,0.9985390516570124,1.3014475107192993,3.6556702980306e-06,3.6908734273310984e-06,1.1064091920852661,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
press,0.2226517854460699,0.0612399882024348,0.10737439290066024,0.9769029273831414,0.22176214643934317,0.006099446818621318,0.08329162361792716,0.9167083763820728,0.02981320209801197,1.9660204131355385e-08,1.99197316419486e-08,0.014006217010319233,0.08721072821992393,0.08939107043654848,0.9106089295634515,0.0320647694170475,2.0600529282432944e-08,2.0674873368875524e-08,0.015069806016981602,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.07852905177458146,0.18587182679998396,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
press,0.12784313661680533,0.03898888937945531,0.09330620422801691,0.9918685538741723,0.12751360666631256,0.0017816294315858572,0.05600549613374432,0.9439945038662557,0.032065361738204956,1.853973330412373e-08,1.89479578693863e-08,0.016230599954724312,0.044284104469261176,0.054223866702158466,0.9457761332978415,0.032065361738204956,1.853973330412373e-08,1.8714077398840345e-08,0.017344629392027855,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.017430608413769994,0.02472344581563552,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
press,0.0,0.0,0.0,1.0,0.0,0.0,0.03599571095679183,0.9640042890432081,0.032065361738204956,1.853973330412373e-08,1.871566546185477e-08,0.014949052594602108,0.0,0.03599571095679183,0.9640042890432081,0.032065361738204956,1.853973330412373e-08,1.871566546185477e-08,0.014949052594602108,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel1,0.041088062701141514,0.056738524748419075,0.10903982946657986,0.9976110364951101,0.07049599545266451,0.0004475796519440578,0.015443342708500327,0.9845566572914997,1.308350920677185,-0.01568247750401497,-0.013829796575009823,1.1900564432144165,0.03294115326349308,0.015890922360444384,0.9841090776395556,1.2340672016143799,-0.015310586430132389,-0.014371511526405811,1.224052906036377,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.025552357714560495,0.033277204397719584,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel1,0.02941499460942097,0.039769768189650584,0.10371641909504195,0.9980176047520712,0.06294866823457491,0.000901440080827683,0.009545916493221474,0.9904540835067785,1.2930117845535278,-0.01579277403652668,-0.01392748486250639,1.2254128456115723,0.020672410477221983,0.010447356574049157,0.9895526434259508,1.2887177467346191,-0.01579277403652668,-0.01392748486250639,1.2240498065948486,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.005842465440906272,0.00898259041834641,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel1,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.00701437162799999,0.992985628372,1.2904136180877686,-0.01579277403652668,-0.013929840177297592,1.2149431705474854,0.0,0.00701437162799999,0.992985628372,1.2904136180877686,-0.01579277403652668,-0.013929840177297592,1.2149431705474854,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
vel2,0.15405231044682996,0.1606048166001884,0.13875630442180284,0.9920626365143654,0.15424892678246158,0.004114657706746669,0.096528574681063,0.903471425318937,0.0952560305595398,-0.09524741023778915,-0.0900515615940094,0.09111463278532028,1.9543949410923216,0.10064323238780967,0.8993567676121903,0.09922856837511063,-0.09920205175876617,-0.09814941883087158,0.09816494584083557,128,HIGHER_RES_SAMPLING_REFERENCE,64,1.944313314587071,0.19806523799798056,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
