baseline,section,metric,channel,value,numerator_squared_sum,denominator_squared_sum
oracle,clamp_masks,target_negative_fraction,press,0.0,,
oracle,clamp_masks,model_clamp_count,press,0,,
oracle,clamp_masks,model_clamp_fraction,press,0.0,,
oracle,clamp_masks,model_positive_fraction,press,0.0,,
oracle,clamp_masks,model_negative_fraction,press,0.0,,
oracle,clamp_masks,intersection_fraction,press,0.0,,
oracle,clamp_masks,model_only_fraction,press,0.0,,
oracle,clamp_masks,target_only_fraction,press,0.0,,
oracle,clamp_masks,neither_fraction,press,1.0,,
oracle,clamp_masks,jaccard,press,,,
oracle,clamp_masks,precision,press,,,
oracle,clamp_masks,recall,press,,,
oracle,clamp_masks,same_sign_intersection_fraction,press,0.0,,
oracle,clamp_masks,opposite_sign_intersection_fraction,press,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,press,,,
oracle,clamp_masks,value_count,vel1,4980736,,
oracle,clamp_masks,target_clamp_count,vel1,560,,
oracle,clamp_masks,target_clamp_fraction,vel1,0.00011243318256578947,,
oracle,clamp_masks,target_positive_fraction,vel1,0.00011243318256578947,,
oracle,clamp_masks,target_negative_fraction,vel1,0.0,,
oracle,clamp_masks,model_clamp_count,vel1,560,,
oracle,clamp_masks,model_clamp_fraction,vel1,0.00011243318256578947,,
oracle,clamp_masks,model_positive_fraction,vel1,0.00011243318256578947,,
oracle,clamp_masks,model_negative_fraction,vel1,0.0,,
oracle,clamp_masks,intersection_fraction,vel1,0.00011243318256578947,,
oracle,clamp_masks,model_only_fraction,vel1,0.0,,
oracle,clamp_masks,target_only_fraction,vel1,0.0,,
oracle,clamp_masks,neither_fraction,vel1,0.9998875668174342,,
oracle,clamp_masks,jaccard,vel1,1.0,,
oracle,clamp_masks,precision,vel1,1.0,,
oracle,clamp_masks,recall,vel1,1.0,,
oracle,clamp_masks,same_sign_intersection_fraction,vel1,0.00011243318256578947,,
oracle,clamp_masks,opposite_sign_intersection_fraction,vel1,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,vel1,1.0,,
oracle,clamp_masks,value_count,vel2,4980736,,
oracle,clamp_masks,target_clamp_count,vel2,183583,,
oracle,clamp_masks,target_clamp_fraction,vel2,0.03685860884817023,,
oracle,clamp_masks,target_positive_fraction,vel2,0.018872712787828948,,
oracle,clamp_masks,target_negative_fraction,vel2,0.017985896060341282,,
oracle,clamp_masks,model_clamp_count,vel2,183583,,
oracle,clamp_masks,model_clamp_fraction,vel2,0.03685860884817023,,
oracle,clamp_masks,model_positive_fraction,vel2,0.018872712787828948,,
oracle,clamp_masks,model_negative_fraction,vel2,0.017985896060341282,,
oracle,clamp_masks,intersection_fraction,vel2,0.03685860884817023,,
oracle,clamp_masks,model_only_fraction,vel2,0.0,,
oracle,clamp_masks,target_only_fraction,vel2,0.0,,
oracle,clamp_masks,neither_fraction,vel2,0.9631413911518297,,
oracle,clamp_masks,jaccard,vel2,1.0,,
oracle,clamp_masks,precision,vel2,1.0,,
oracle,clamp_masks,recall,vel2,1.0,,
oracle,clamp_masks,same_sign_intersection_fraction,vel2,0.03685860884817023,,
oracle,clamp_masks,opposite_sign_intersection_fraction,vel2,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,vel2,1.0,,
oracle,clamp_masks,value_count,vel3,4980736,,
oracle,clamp_masks,target_clamp_count,vel3,2002366,,
oracle,clamp_masks,target_clamp_fraction,vel3,0.40202211078844574,,
oracle,clamp_masks,target_positive_fraction,vel3,0.40200624967876236,,
oracle,clamp_masks,target_negative_fraction,vel3,1.5861109683388158e-05,,
oracle,clamp_masks,model_clamp_count,vel3,2002366,,
oracle,clamp_masks,model_clamp_fraction,vel3,0.40202211078844574,,
oracle,clamp_masks,model_positive_fraction,vel3,0.40200624967876236,,
oracle,clamp_masks,model_negative_fraction,vel3,1.5861109683388158e-05,,
oracle,clamp_masks,intersection_fraction,vel3,0.40202211078844574,,
oracle,clamp_masks,model_only_fraction,vel3,0.0,,
oracle,clamp_masks,target_only_fraction,vel3,0.0,,
oracle,clamp_masks,neither_fraction,vel3,0.5979778892115543,,
oracle,clamp_masks,jaccard,vel3,1.0,,
oracle,clamp_masks,precision,vel3,1.0,,
oracle,clamp_masks,recall,vel3,1.0,,
oracle,clamp_masks,same_sign_intersection_fraction,vel3,0.40202211078844574,,
oracle,clamp_masks,opposite_sign_intersection_fraction,vel3,0.0,,
oracle,clamp_masks,sign_agreement_within_intersection,vel3,1.0,,
persistence,relative_l2,E_norm,Bcc1,0.0691882923860299,41726.415720216115,8716574.703011898
persistence,relative_l2,E_norm,Bcc2,0.30659957504600516,5821491.964919293,61928591.87855665
persistence,relative_l2,E_norm,Bcc3,0.24315780331877604,7056810.38616357,119352638.86254199
persistence,relative_l2,E_norm,rho,0.1163087184210472,165119.53873434025,12206015.749984546
persistence,relative_l2,E_norm,press,0.1294929162902629,117941.9702806071,7033578.765954044
persistence,relative_l2,E_norm,vel1,0.14043734857773782,448085.3880822216,22719331.004154418
persistence,relative_l2,E_norm,vel2,0.3694715750865464,4518596.627175057,33101030.145590268
persistence,relative_l2,E_norm,vel3,0.13805010682569135,1854466.5254719371,97307318.37697363
persistence,relative_l2,E_norm,arithmetic_average,0.18908829199401211,,
persistence,relative_l2,E_model_oracle,Bcc1,0.10521358733653854,153011.43728637448,13822297.550879022
persistence,relative_l2,E_model_oracle,Bcc2,0.3817316661503122,417.8242160570207,2867.327046214792
persistence,relative_l2,E_model_oracle,Bcc3,0.24731111349872062,5.412085881139852,88.48658079511652
persistence,relative_l2,E_model_oracle,rho,0.31590495286556386,7136434.4178372575,71510268.57232799
persistence,relative_l2,E_model_oracle,press,0.15377114139114517,36776.98123597486,1555343.7994981613
persistence,relative_l2,E_model_oracle,vel1,0.13015463596865298,31867.045897491356,1881146.0813557715
persistence,relative_l2,E_model_oracle,vel2,0.4099476286586706,89.19514609535833,530.7432310665473
persistence,relative_l2,E_model_oracle,vel3,0.12878038355338106,418.06366551293723,25208.26731611196
persistence,relative_l2,E_model_oracle,arithmetic_average,0.23410188867787313,,
persistence,relative_l2,E_model_raw,Bcc1,0.10521358805410877,153011.43939388977,13822297.552721845
persistence,relative_l2,E_model_raw,Bcc2,0.9220823968298958,123381.62536397415,145114.5718615558
persistence,relative_l2,E_model_raw,Bcc3,0.999357532160763,33553679.45640293,33596835.36124721
persistence,relative_l2,E_model_raw,rho,0.3159049439995062,7136433.925746953,71510267.65531789
persistence,relative_l2,E_model_raw,press,0.1537711437033745,36776.98272196324,1555343.8155675814
persistence,relative_l2,E_model_raw,vel1,0.13021332440607775,31902.42666701769,1881537.443805871
persistence,relative_l2,E_model_raw,vel2,0.6373135371008156,556.2424873975934,1369.4868665514182
persistence,relative_l2,E_model_raw,vel3,0.8522190308999322,432122.86478800396,594983.3193106027
persistence,relative_l2,E_model_raw,arithmetic_average,0.5145094371443093,,
persistence,relative_l2,E_oracle_raw,Bcc1,6.344263868317088e-07,5.563431090772201e-06,13822297.552721845
persistence,relative_l2,E_oracle_raw,Bcc2,0.9187001429962701,122478.14293895545,145114.5718615558
persistence,relative_l2,E_oracle_raw,Bcc3,0.9993537835756451,33553427.737506513,33596835.36124721
persistence,relative_l2,E_oracle_raw,rho,8.784299709761439e-07,5.518012671998234e-05,71510267.65531789
persistence,relative_l2,E_oracle_raw,press,9.658402309110792e-07,1.4508983592517734e-06,1555343.8155675814
persistence,relative_l2,E_oracle_raw,vel1,0.00230182705058105,9.96915261328709,1881537.443805871
persistence,relative_l2,E_oracle_raw,vel2,0.5668102639892161,439.98035287642455,1369.4868665514182
persistence,relative_l2,E_oracle_raw,vel3,0.8511265950257523,431015.72228596814,594983.3193106027
persistence,relative_l2,E_oracle_raw,arithmetic_average,0.4172868864167567,,
persistence,relative_l2,excess_absolute,Bcc1,0.10521295362772194,,
persistence,relative_l2,excess_absolute,Bcc2,0.0033822538336256702,,
persistence,relative_l2,excess_absolute,Bcc3,3.7485851178686858e-06,,
persistence,relative_l2,excess_absolute,rho,0.3159040655695352,,
persistence,relative_l2,excess_absolute,press,0.1537701778631436,,
persistence,relative_l2,excess_absolute,vel1,0.1279114973554967,,
persistence,relative_l2,excess_absolute,vel2,0.07050327311159954,,
persistence,relative_l2,excess_absolute,vel3,0.0010924358741799534,,
persistence,relative_l2,excess_absolute,arithmetic_average,0.09722255072755256,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,Bcc1,153011.43939388977,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,Bcc1,153011.43728637448,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,Bcc1,5.563431090772201e-06,,
persistence,squared_error_numerator_decomposition,cross_term,Bcc1,0.0021019509262390147,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,Bcc1,153011.43939388884,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,Bcc1,9.313225746154785e-10,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,Bcc1,6.086620571015092e-15,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,Bcc2,123381.62536397415,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,Bcc2,417.8242160570207,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,Bcc2,122478.14293895545,,
persistence,squared_error_numerator_decomposition,cross_term,Bcc2,485.65820897223364,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,Bcc2,123381.62536398471,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,Bcc2,-1.0564690455794334e-08,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,Bcc2,8.562612483527137e-14,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,Bcc3,33553679.45640293,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,Bcc3,5.412085881139852,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,Bcc3,33553427.737506513,,
persistence,squared_error_numerator_decomposition,cross_term,Bcc3,246.3068133468551,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,Bcc3,33553679.45640574,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,Bcc3,-2.808868885040283e-06,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,Bcc3,8.371269352709623e-14,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,rho,7136433.925746953,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,rho,7136434.4178372575,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,rho,5.518012671998234e-05,,
persistence,squared_error_numerator_decomposition,cross_term,rho,-0.49214534954919004,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,rho,7136433.925747088,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,rho,-1.3504177331924438e-07,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,rho,1.8922864658220723e-14,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,press,36776.98272196324,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,press,36776.98123597486,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,press,1.4508983592517734e-06,,
persistence,squared_error_numerator_decomposition,cross_term,press,0.0014845375015977783,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,press,36776.982721963264,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,press,-2.1827872842550278e-11,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,press,5.935199471792083e-16,,
