record_type,split,channel,stage,scope,index,shell,gamma_mode,paper_canonical,metric,value
snapshot_clamp,train,Bcc1,,,39,,,True,snapshot_index,39
snapshot_clamp,train,Bcc1,,,39,,,True,time,390.00057178503437
snapshot_clamp,train,Bcc1,,,39,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,39,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,39,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,39,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,40,,,True,snapshot_index,40
snapshot_clamp,train,Bcc1,,,40,,,True,time,400.00123085107134
snapshot_clamp,train,Bcc1,,,40,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,40,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,40,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,40,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,41,,,True,snapshot_index,41
snapshot_clamp,train,Bcc1,,,41,,,True,time,410.00009478893276
snapshot_clamp,train,Bcc1,,,41,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,41,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,41,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,41,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,42,,,True,snapshot_index,42
snapshot_clamp,train,Bcc1,,,42,,,True,time,420.00075385496973
snapshot_clamp,train,Bcc1,,,42,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,42,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,42,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,42,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,43,,,True,snapshot_index,43
snapshot_clamp,train,Bcc1,,,43,,,True,time,430.0014129210067
snapshot_clamp,train,Bcc1,,,43,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,43,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,43,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,43,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,44,,,True,snapshot_index,44
snapshot_clamp,train,Bcc1,,,44,,,True,time,440.0002768588681
snapshot_clamp,train,Bcc1,,,44,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,44,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,44,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,44,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,45,,,True,snapshot_index,45
snapshot_clamp,train,Bcc1,,,45,,,True,time,450.0009359249051
snapshot_clamp,train,Bcc1,,,45,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,45,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,45,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,45,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,46,,,True,snapshot_index,46
snapshot_clamp,train,Bcc1,,,46,,,True,time,460.00159499094207
snapshot_clamp,train,Bcc1,,,46,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,46,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,46,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,46,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,47,,,True,snapshot_index,47
snapshot_clamp,train,Bcc1,,,47,,,True,time,470.0004589288035
snapshot_clamp,train,Bcc1,,,47,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,47,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,47,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,47,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,48,,,True,snapshot_index,48
snapshot_clamp,train,Bcc1,,,48,,,True,time,480.00111799484046
snapshot_clamp,train,Bcc1,,,48,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,48,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,48,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,48,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,49,,,True,snapshot_index,49
snapshot_clamp,train,Bcc1,,,49,,,True,time,490.00177706087743
snapshot_clamp,train,Bcc1,,,49,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,49,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,49,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,49,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,50,,,True,snapshot_index,50
snapshot_clamp,train,Bcc1,,,50,,,True,time,500.00064099873885
snapshot_clamp,train,Bcc1,,,50,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,50,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,50,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,50,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,51,,,True,snapshot_index,51
snapshot_clamp,train,Bcc1,,,51,,,True,time,510.0013000647758
snapshot_clamp,train,Bcc1,,,51,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,51,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,51,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,51,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,52,,,True,snapshot_index,52
snapshot_clamp,train,Bcc1,,,52,,,True,time,520.0001640026372
snapshot_clamp,train,Bcc1,,,52,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,52,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,52,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,52,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,53,,,True,snapshot_index,53
snapshot_clamp,train,Bcc1,,,53,,,True,time,530.0008230686742
snapshot_clamp,train,Bcc1,,,53,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,53,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,53,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,53,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,54,,,True,snapshot_index,54
snapshot_clamp,train,Bcc1,,,54,,,True,time,540.0014821347112
snapshot_clamp,train,Bcc1,,,54,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,54,,,True,negative_fraction,0.0
