channel,fraction_outside_train_min_max,fraction_outside_train_q001_q999,maximum,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,minimum,radial_profile_variance,relative_l2_to_physical_loop_output,shell_variance,state_norm,std,step
vel3,0.01458740234375,0.1575164794921875,309.09124755859375,74.20021057128906,117.17497775268589,0.6059975070234791,-9.280187606811523,2009.9881493692483,0.023309388299342003,2724.5551765926584;2725.457933478466;2723.7568061038523;2724.0745629878165;2723.2756556256754;2723.058544373014;2724.973134472388;2723.4575574913974,44751.859375,52.19268333713009,5
Bcc1,0.4212646484375,0.479736328125,13.419574737548828,22.166045427322388,22.38883662223816,7.0384634626910385,-23.979778289794922,1.751492242245773,,10.385514736673935;10.379176289620208;10.384737308497694;10.392841857017965;10.374956773743536;10.37644787077025;10.382863301248115;10.377748566918171,48405.4140625,3.222077947624956,6
Bcc2,0.014125823974609375,0.023334503173828125,29.364227294921875,11.678657531738281,14.264217907905582,0.46695475854904445,-26.007177352905273,11.923744520563009,,29.96565337981393;29.96120171095832;29.96161105422527;29.982254264755387;29.95642835893253;29.94744971019812;29.981088616568385;29.962959999648874,48405.4140625,5.474014232470888,6
Bcc3,0.027919769287109375,0.05492401123046875,309.7280578613281,113.35989379882812,152.480828201294,0.48505262252433096,-263.990234375,107.06855622043688,,4484.524678346785;4485.8302449359835;4483.993073449676;4485.973580612503;4483.74170144124;4483.322360719669;4486.161220159831;4483.722043174175,48405.4140625,66.96759417107046,6
rho,0.350372314453125,0.3933143615722656,17.471452713012695,20.1923086643219,20.200771927833557,4.4973568150751895,-22.180402755737305,1.4228364246131937,,10.46242459563615;10.452661431372887;10.456671188947187;10.467059580174539;10.471483966250144;10.450882442030178;10.45629667621123;10.467230222287316,48405.4140625,3.234283387519079,6
press,0.23617172241210938,0.29125213623046875,19.946434020996094,17.392805337905884,18.063290238380432,3.91515908167956,-12.31454086303711,2.1120618469028845,,7.207220221546427;7.202049743450164;7.206094249729172;7.224150692973272;7.21341537904304;7.195457052474227;7.211897870038287;7.21235678104196,48405.4140625,2.6849730916932426,6
vel1,0.263458251953125,0.3538093566894531,18.716522216796875,13.022082328796387,14.390233552932742,2.480424880854797,-14.22697639465332,1.5916375812295795,,8.43923322445852;8.438581014040736;8.434743620423728;8.447623004234263;8.433703840324604;8.422211229258334;8.44758789832043;8.439663467977532,48405.4140625,2.9048095840555153,6
vel2,0.12896347045898438,0.12896347045898438,19.997325897216797,22.92316246032715,22.923171997070312,1.9102673693774055,-28.92316246032715,2.296190027557773,,18.402497248701863;18.39883681580803;18.36163379279357;18.417096137170077;18.398708282160335;18.382960972947803;18.404348982074854;18.396080203708244,48405.4140625,4.288970926261345,6
vel3,0.02182769775390625,0.17221450805664062,349.2630920410156,114.37205505371094,157.34682223510777,0.8137554949128734,-13.109943389892578,2095.07977808113,,3171.6184059896423;3172.7246140109137;3170.2524429888863;3172.1181526443866;3169.5398265189006;3169.7339669768185;3172.4666043355273;3170.174001359167,48405.4140625,56.31233016282492,6
Bcc1,0.5092697143554688,0.5783576965332031,15.6060152053833,24.91020131111145,25.13299250602722,7.901154153139568,-26.723934173583984,2.5715668050068756,,15.8546795738086;15.830806462770841;15.846941500785018;15.882912299294988;15.864950438269409;15.833786770394529;15.83977624321391;15.846803522780032,53599.609375,3.9812163144456725,7
