Z,basis,near_zero,near_zero_threshold,positive_support_count,r,r_index,theta,theta_index
0.0001291061821796189,0,False,6.534747158743004e-09,1,1.1456345721309733,0,0.22089323960244656,4
0.0001647659767365921,0,False,6.534747158743004e-09,1,1.2426617876622312,1,0.22089323960244656,4
0.00021027519078980851,0,False,6.534747158743004e-09,1,1.3479065280332274,2,0.22089323960244656,4
0.0002683542848920631,0,False,6.534747158743004e-09,1,1.4620647599799128,3,0.22089323960244656,4
0.0003424751248563413,0,False,6.534747158743004e-09,1,1.5858913937409358,4,0.22089323960244656,4
0.0004370685237708871,0,False,6.534747158743004e-09,1,1.72020527515903,5,0.22089323960244656,4
0.0005577891081911257,0,False,6.534747158743004e-09,1,1.865894600578393,6,0.22089323960244656,4
0.0007118533417422347,0,False,6.534747158743004e-09,1,2.0239227903459005,7,0.22089323960244656,4
0.0009084709125871874,0,False,6.534747158743004e-09,1,2.1953348597566915,8,0.22089323960244656,4
0.0011593952723422778,0,False,6.534747158743004e-09,1,2.3812643295741793,9,0.22089323960244656,4
0.0014796262366855062,0,False,6.534747158743004e-09,1,2.582940721822646,10,0.22089323960244656,4
0.0018883066478830501,0,False,6.534747158743004e-09,1,2.8016976904209168,11,0.22089323960244656,4
0.0024098667001382864,0,False,6.534747158743004e-09,1,3.0389818404236975,12,0.22089323960244656,4
0.0030754843335143948,0,False,6.534747158743004e-09,1,3.2963622941908164,13,0.22089323960244656,4
0.003924948996203686,0,False,6.534747158743004e-09,1,3.575541067743924,14,0.22089323960244656,4
0.005009040187565058,0,False,6.534747158743004e-09,1,3.8783643259278544,15,0.22089323960244656,4
0.006392562967037242,0,False,6.534747158743004e-09,1,4.206834590805233,16,0.22089323960244656,4
0.008158221886297362,0,False,6.534747158743004e-09,1,4.5631239840165145,17,0.22089323960244656,4
0.010411564921496272,0,False,6.534747158743004e-09,1,4.949588590675056,18,0.22089323960244656,4
0.013287292945121104,0,False,6.534747158743004e-09,1,5.368784039783396,19,0.22089323960244656,4
0.01695731190658438,0,False,6.534747158743004e-09,1,5.823482404201546,20,0.22089323960244656,4
0.021641009066694313,0,False,6.534747158743004e-09,1,6.316690531924104,21,0.22089323960244656,4
0.02761836758117864,0,False,6.534747158743004e-09,1,6.851669929888003,22,0.22089323960244656,4
