channel,display_name,radial_index,region,sample_count,skill_mean,skill_median,variant
aggregate_focus,W1,32,middle,126,-32.89471105004456,-1.0546007629245828,mixed_basis
aggregate_focus,W1,33,middle,126,-13.021110335382033,-1.5411955046024892,mixed_basis
aggregate_focus,W1,34,middle,126,-7.446537846644155,-1.960102561404112,mixed_basis
aggregate_focus,W1,35,middle,126,-9.355727126914692,-2.023298096380193,mixed_basis
aggregate_focus,W1,36,middle,126,-14.886833058484433,-2.09141982434829,mixed_basis
aggregate_focus,W1,37,middle,126,-22.08836343308462,-3.442042790366396,mixed_basis
aggregate_focus,W1,38,middle,126,-50.48960411343016,-1.7242792450198163,mixed_basis
aggregate_focus,W1,39,middle,126,-66.09963777948863,-2.602156598850849,mixed_basis
aggregate_focus,W1,40,middle,126,-27.785396533145796,-7.164600567316418,mixed_basis
aggregate_focus,W1,41,middle,126,-28.689451201085475,-10.82466495382197,mixed_basis
aggregate_focus,W1,42,outer,126,-62.46657817743212,-11.059499192517237,mixed_basis
aggregate_focus,W1,43,outer,126,-157.0446017427497,-17.699672116533335,mixed_basis
aggregate_focus,W1,44,outer,126,-122.81485147008429,-20.01777125150919,mixed_basis
aggregate_focus,W1,45,outer,126,-67.50121640531427,-23.39263269350128,mixed_basis
aggregate_focus,W1,46,outer,126,-114.17060803008745,-23.365358627239416,mixed_basis
aggregate_focus,W1,47,outer,126,-83.16102200110014,-25.19129698297737,mixed_basis
aggregate_focus,W1,48,outer,126,-186.1365144094486,-37.75819442619935,mixed_basis
aggregate_focus,W1,49,outer,126,-168.96280366427465,-35.481544164182935,mixed_basis
aggregate_focus,W1,50,outer,126,-1626.215957878429,-50.001981695010585,mixed_basis
aggregate_focus,W1,51,outer,126,-406.64992567157685,-49.03097904934177,mixed_basis
aggregate_focus,W1,52,outer,126,-298.32806439271377,-49.81494807123812,mixed_basis
aggregate_focus,W1,53,outer,126,-347.1964477076083,-77.21949551877229,mixed_basis
aggregate_focus,W1,54,outer,126,-531.2587309062204,-83.40987412876751,mixed_basis
aggregate_focus,W1,55,outer,126,-816.6430719833195,-72.65061906746925,mixed_basis
aggregate_focus,W1,56,outer,126,-695.6445755112754,-105.90422533151443,mixed_basis
aggregate_focus,W1,57,outer,126,-771.210635466121,-115.89428632592174,mixed_basis
aggregate_focus,W1,58,outer,126,-894.2309089987342,-113.58400607112985,mixed_basis
aggregate_focus,W1,59,outer,126,-1318.3563170010266,-149.0907621733267,mixed_basis
aggregate_focus,W1,60,outer,126,-49266.41360411349,-129.87263968773203,mixed_basis
aggregate_focus,W1,61,outer,126,-8270.552927740195,-473.61250881815965,mixed_basis
